company,critic_name,movie,rating,review_text
TheWrap,Leah Rozen,Cars 2,rotten,"don't tell the kids, but santa claus isn't real and pixar is fallible."
Time Out,Derek Adams,Cars 2,rotten,"time, perhaps, for the franchise to be towed off to the scrapyard. sorry, pixar."
Newsday,Rafer Guzman,Cars 2,fresh,"it's an example of what a sequel should, or at least can, be."
Christian Science Monitor,Peter Rainer,Cars 2,fresh,"cars 2 is marginally better than its predecessor, but the same problem still remains: cars just aren't very interesting as anthropomorphic animation vehicles (pun intended)."
New York Magazine/Vulture,Logan Hill,Cars 2,rotten,"...by pixar's outrageous standards of oscar shoo-in virtuosity, this sequel is a disappointment at best."
Denver Post,Lisa Kennedy,Cars 2,rotten,larry the cable guy has helped make mater one of pixar's sweetest creations. he just happens to reside in the studio's least-magical franchise.
Film Frenzy,Matt Brunson,Cars 2,fresh,"i defy anyone to tell me with a straight face that this is anywhere near as awful as 2011's other family hits, zookeeper and mr. popper's penguins. case closed."
The Indian Express,Shubhra Gupta,Cars 2,rotten,"the trouble with stuffing too much into a film quickly becomes evident in cars 2, as the plotlines tumble and collide with each other creating, mostly, cacophony."
Rachel's Reviews (YouTube),Rachel Wagner,Cars 2,fresh,the animation... alone is good enough for it worth a watch.
Assignment X,Abbie Bernstein,Cars 2,rotten,"there's a fine line between being healthily assertive in joining the conversation and being rude, however unintentionally. mater is on the wrong side of that line, which gives cars 2 a bit of a strange message."
L.A. Weekly,F.X. Feeney,Toy Story 2,fresh,"no parent who's been roped into leading the troops to a matinee need fear being bored: gags are, simpsons-like, conceived to tickle several generations at once."
Denver Post,Steven Rosen,Toy Story 2,fresh,"toy 2 is colorful and funny, and the computer-animation from pixar animation studios creates a convincingly detailed environment for the toys."
CNN.com,Paul Clinton (CNN.com),Toy Story 2,fresh,"toy story 2 is a brilliant example of that rarest of hollywood phenomena a sequel to a major hit film thats as good, if not better, than the original."
Time Out,Nick Schager,Toy Story 2,fresh,pixar's 1995 toy story and its superlative 1999 sequel ushered in the supremacy of computer-generated animation.
Associated Press,Malcolm Ritter,Toy Story 2,fresh,"they've done it again. the folks who brought you 'toy story now present toy story 2, another clever, riotous tale of life in the toy lane."
New York Daily News,Jami Bernard,Toy Story 2,fresh,"pixar, the animation studio that teamed with disney for both movies, has broken technological ground since the first toy story, and ts2 shows off its newest expertise with one smart visual joke after another."
