audience_prop,critic_prop,movie,critic_score,audience_score,num_audience,num_critic,gross,year,Char_gender
0.49,0.38,Cars 2,3.24,2.74,103355,214,215744700,6/24/11,Male
0.86,1,Toy Story 2,4.17,4.34,999689,169,431007100,11/19/99,Female
0.92,1,Toy Story,4.51,3.75,1109209,84,395253600,11/22/95,Male
0.86,0.99,Finding Nemo,4.35,3.81,33356856,263,507600600,5/30/03,Male
0.94,0.98,Toy Story 4,4.19,4.59,43842,369,272527500,6/21/19,Female
0.89,0.98,Inside Out,4.47,4.29,135891,355,389111200,6/19/15,Female
0.89,0.98,Toy Story 3,4.44,4.37,606661,303,480588300,6/18/10,Male
0.9,0.98,Up,4.36,4.29,1203332,293,353856800,5/29/09,Male
0.94,0.97,Coco,4.16,4.51,26532,323,205915300,11/22/17,Male
0.75,0.97,The Incredibles,4.17,3.44,32604129,242,378689900,11/5/04,Male
0.87,0.96,Ratatouille,4.24,4.13,1071723,249,270359800,6/29/07,Male
0.9,0.96,"Monsters, Inc.",4.02,3.8,1254638,195,406243900,11/2/01,Male
0.9,0.95,WALL-E,4.27,4.3,597664,255,280850000,6/27/08,Male
0.85,0.94,Incredibles 2,3.93,4.11,17229,351,597356200,6/15/18,Female
0.84,0.94,Finding Dory,3.82,4.08,181429,317,505984400,6/17/16,Female
0.72,0.92,A Bug's Life,3.95,3.74,982181,87,307560900,11/20/98,Male
0.81,0.8,Monsters University,3.41,3.98,305139,197,299135900,6/21/13,Male
0.76,0.79,Brave,3.48,3.85,278955,243,269916600,6/22/12,Female
0.65,0.76,The Good Dinosaur,3.3,3.58,58672,209,127651300,11/25/15,Male
0.79,0.75,Cars,3.46,3.96,877724,200,335753800,6/9/06,Male
0.69,0.69,Cars 3,3.05,3.7,26988,220,154007100,6/16/17,Male
