Date,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)","Cushing, OK Crude Oil Future Contract 2 (Dollars per Barrel)","Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)","Cushing, OK Crude Oil Future Contract 4 (Dollars per Barrel)",Natural Gas Futures Contract 1 (Dollars per Million Btu),Natural Gas Futures Contract 2 (Dollars per Million Btu),Natural Gas Futures Contract 3 (Dollars per Million Btu),Natural Gas Futures Contract 4 (Dollars per Million Btu)
2003-01-01,32.7,31.87,30.87,29.89,5.381,5.294,5.01,4.853
2003-02-01,35.73,34.43,33.16,31.97,6.657,5.962999999999999,5.587000000000001,5.416
2003-03-01,33.16,31.69,30.48,29.66,5.7860000000000005,5.541,5.441,5.398
2003-04-01,28.14,26.98,26.52,26.21,5.358,5.43,5.465,5.466
2003-05-01,28.07,27.54,27.03,26.62,5.926,6.007999999999999,6.042000000000001,6.016
2003-06-01,30.52,29.49,28.85,28.3,5.925,6.005,6.021,6.057
2003-07-01,30.7,30.26,29.75,29.29,5.034,5.047,5.0969999999999995,5.311
2003-08-01,31.6,31.42,30.96,30.39,4.978,5.035,5.256,5.479
2003-09-01,28.31,28.29,28.0,27.71,4.667,4.898,5.155,5.319
2003-10-01,30.35,30.25,29.88,29.46,4.986000000000001,5.307,5.481,5.428
2003-11-01,31.06,30.67,30.27,29.82,4.834,5.0169999999999995,5.001,4.849
2003-12-01,32.14,31.99,31.51,30.99,6.468999999999999,6.434,5.997999999999999,5.148
2004-01-01,34.22,33.58,33.04,32.48,6.272,6.202000000000001,5.51,5.336
2004-02-01,34.5,33.54,32.91,32.37,5.3629999999999995,5.278,5.2410000000000005,5.25
2004-03-01,36.72,36.03,35.27,34.64,5.542000000000001,5.629,5.6739999999999995,5.71
2004-04-01,36.62,36.12,35.7,35.22,5.765,5.843999999999999,5.907,5.935
2004-05-01,40.28,40.09,39.57,38.95,6.398,6.472,6.5,6.474
2004-06-01,38.05,38.18,38.05,37.78,6.334,6.388,6.4,6.452000000000001
2004-07-01,40.81,40.63,40.0,39.6,6.064,6.105,6.205,6.486000000000001
2004-08-01,44.88,44.39,43.96,43.44,5.471,5.643,6.229,6.659
2004-09-01,45.94,45.68,45.18,44.65,5.218999999999999,5.949,6.593999999999999,6.901
2004-10-01,53.09,52.63,52.1,51.47,7.371,8.392999999999999,8.818999999999999,8.748
2004-11-01,48.48,48.58,48.5,48.22,7.608,8.213,8.246,7.903
2004-12-01,43.26,43.56,43.62,43.45,6.827999999999999,6.922999999999999,6.855,6.42
2005-01-01,46.85,47.05,46.92,46.63,6.186,6.231,6.159,6.178
2005-02-01,48.05,48.59,48.81,48.74,6.202999999999999,6.274,6.3420000000000005,6.401
2005-03-01,54.63,55.31,55.61,55.67,7.045,7.1579999999999995,7.245,7.316
2005-04-01,53.22,54.6,55.37,55.71,7.15,7.247999999999999,7.3420000000000005,7.401
2005-05-01,49.87,51.27,51.91,52.29,6.486000000000001,6.564,6.631,6.676
2005-06-01,56.42,57.32,57.94,58.32,7.206,7.272,7.308,7.41
2005-07-01,59.03,60.0,60.65,61.07,7.579,7.622000000000001,7.727,8.27
2005-08-01,64.99,65.73,66.26,66.62,9.427,9.486,9.884,10.265999999999998
2005-09-01,65.55,65.91,66.35,66.71,12.110999999999999,12.59,13.024000000000001,13.255999999999998
2005-10-01,62.27,62.08,62.33,62.54,13.454,13.827,14.177999999999999,14.01
2005-11-01,58.34,59.14,59.61,59.9,11.695,12.252,12.267000000000001,11.880999999999998
2005-12-01,59.45,60.24,60.8,61.17,13.425,13.52,13.353,10.905999999999999
2006-01-01,65.54,66.19,66.68,67.04,9.136000000000001,9.276,9.203,9.256
2006-02-01,61.93,63.15,64.04,64.72,7.52,7.692,7.84,7.971
2006-03-01,62.97,64.46,65.3,65.87,6.979,7.16,7.335,7.502999999999999
2006-04-01,70.16,71.61,72.43,72.88,7.263999999999999,7.494,7.722,7.922999999999999
2006-05-01,70.96,72.08,72.88,73.47,6.372000000000001,6.635,6.894,7.247999999999999
2006-06-01,70.97,71.69,72.37,72.9,6.385,6.624,6.917999999999999,7.396
2006-07-01,74.46,75.71,76.44,76.95,6.222,6.407,6.834,8.258
