tic,hedge_volume,unit_hedgevol,datadate,product,maturity_year,daily_volume,volume_ann_multiplier,index,file_header,row_num,maturity_year_old,product_type,instrument,volume_hedge_new,unit_hedge,price1_new,price1_name,price2_new,price2_name,price3_new,price3_name,fair_value_new,any_odd_thing_new,idnum,price4_new,price4_name,fair_valueinmillions_new,volume_num_orig,filedate_str,hedge_unit_multiplier,thousand_correction,gas_dummy,unit_hedge_orig,maturity_temp
APA,31708.494,mmcf,14mar2006,gas,2006,,1,0,APA20060314,6,2006,natural gas,gas collars,32850000,(mmbtu/bbl),$5.50/ 6.66,weighted average floor/ceiling,,,,,"$(133,936",,1, , ,,32850000,20060314,.00096525095,1,1,mmbtu,2006
APA,4250.9653,mmcf,14mar2006,gas,2006,,1,1,APA20060314,7,2006,gas,gas fixed-price swap,4404000,(mmbtu/bbl),5.87,weighted average floor/ceiling,,,,,Neg21232,,1, , ,,4404000,20060314,.00096525095,1,1,mmbtu,2006
APA,4307,mbbl,14mar2006,oil,2006,,1,2,APA20060314,8,2006,crude oil,oil collars,4307000,(mmbtu/bbl),32.07/ 40.66,weighted average floor/ceiling,,,,,Neg95583,,1, , ,,4307000,20060314,.001,1,0,bbl,2006
APA,224.00002,mbbl,14mar2006,oil,2006,,1,3,APA20060314,9,2006,oil,oil fixed-price swap,224000,(mmbtu/bbl),38.5,weighted average floor/ceiling,,,,,Neg5365,,1, , ,,224000,20060314,.001,1,0,bbl,2006
APA,1533.0001,mbbl,14mar2006,oil,2006,,1,4,APA20060314,10,2006,oil,oil put option,1533000,(mmbtu/bbl),28,weighted average floor/ceiling,,,,,16,,1, , ,,1533000,20060314,.001,1,0,bbl,2006
APA,23716.215,mmcf,14mar2006,gas,2007,,1,5,APA20060314,11,2007,gas,gas collars,24570000,(mmbtu/bbl),5.25/ 6.20,weighted average floor/ceiling,,,,,Neg96917,,1, , ,,24570000,20060314,.00096525095,1,1,mmbtu,2007
APA,1699.8069,mmcf,14mar2006,gas,2007,,1,6,APA20060314,12,2007,gas,gas fixed-price swap,1761000,(mmbtu/bbl),5.57,weighted average floor/ceiling,,,,,Neg7997,,1, , ,,1761000,20060314,.00096525095,1,1,mmbtu,2007
APA,1911.0001,mbbl,14mar2006,oil,2007,,1,7,APA20060314,13,2007,oil,oil collars,1911000,(mmbtu/bbl),33.00/ 39.25,weighted average floor/ceiling,,,,,Neg45533,,1, , ,,1911000,20060314,.001,1,0,bbl,2007
APA,78,mbbl,14mar2006,oil,2007,,1,8,APA20060314,14,2007,oil,oil fixed-price swap,78000,(mmbtu/bbl),36.89,weighted average floor/ceiling,,,,,Neg1982,,1, , ,,78000,20060314,.001,1,0,bbl,2007
APA,51901.543,mmcf,01mar2007,gas,2007,,1,9,APA20070301,6,2007,gas,gas collars (nymex),53770000,mmbtu,$5.25|8.65, floor price range,$5.85|11.00, ceiling price range,$6.96/8.69,weighted average floor/ceiling,30588,,1, , ,,53770000,20070301,.00096525095,1,1,mmbtu,2007
