year,ticker,OIL_PRODUCTION,NGL_PRODUCTION,GAS_PRODUCTION
2018,APC,385.0,103.0,1069.0
2017,APC,355.0,99.0,1309.0
2016,APC,316.0,128.0,2093.0
2015,APC,317.0,130.0,2334.0
2014,APC,292.0,119.0,2589.0
2013,APC,248.0,91.0,2652.0
2012,APC,233.0,82.19,2495.0
2011,APC,217.0,74.0,2334.0
2010,APC,201.0,63.0,2272.0
2009,APC,187.0,47.0,2217.0
2008,APC,182.0,39.0,2049.0
2007,APC,215.4,44.0,1912.3
2006,APC,193.0,42.0,1529.0
2005,APC,155.0,36.0,1136.0
2004,APC,185.0,45.0,1741.0
2003,APC,184.0,47.0,1762.0
2002,APC,205.0,41.0,1760.0
2001,APC,68.0,42.0,1904.0
2000,APC,98.0,33.0,1052.0
1999,APC,40.0,18.0,465.0
1998,APC,30.48200035,18.19199944,484.10998539999986
2018,AR,8.945205479,118.1753425,1945.205479
2017,AR,6.715068493,98.75616438,1619.178082
2016,AR,5.117486339,72.88251366,1379.781421
2015,AR,5.693150685,42.60273973,1202.739726
2014,AR,3.591780822,19.45753425,868.4931507000001
2013,AR,0.619178082,5.816438356,484.9315068
2012,AR,0.05,0.19,240.0
2011,AR,0.52,1.94,230.0
2010,AR,0.35,0.91,130.0
2009,AR,0.35,0.91,130.0
2008,AR,0.35,0.91,130.0
2007,AR,0.35,0.91,130.0
2006,AR,0.35,0.91,130.0
2005,AR,0.35,0.91,130.0
2004,AR,0.35,0.91,130.0
2003,AR,0.35,0.91,130.0
2002,AR,0.35,0.91,130.0
2001,AR,0.35,0.91,130.0
2000,AR,0.35,0.91,130.0
1999,AR,0.35,0.91,130.0
1998,AR,0.35,0.91,130.0
2018,APA,245.409,59.563,965.531
2017,APA,244.263,53.466,957.56
2016,APA,228.812,62.26600000000001,950.327
2015,APA,284.357,62.249,1130.929
2014,APA,299.876,67.05,1340.321
2013,APA,346.617,64.643,2097.088
2012,APA,352.026,44.411,2293.451
2011,APA,339.945,31.14,2262.384
2010,APA,322.934,19.923,1888.66
2009,APA,278.726,11.466,1758.814
2008,APA,253.856,10.949000000000002,1617.609
2007,APA,249.1,12.748,1796.348
2006,APA,224.577,11.709,1589.065
2005,APA,234.07,9.788,1263.823
2004,APA,231.519,10.856,1235.108
2003,APA,205.394,9.143,1217.157
2002,APA,152.97899999999996,8.447000000000001,1080.387
2001,APA,147.299,8.951,1127.274
2000,APA,114.537,7.234,830.546
1999,APA,91.021,3.938,656.12
1998,APA,72.905998,2.883,590.107971
2018,AREX,5.528767123,3.953424658,25.77534247
2017,AREX,3.032876712,4.071232877,26.92876712
2016,AREX,3.483606557,4.177595628,28.42622951
2015,AREX,5.156164383999999,4.64109589,32.14246575
2014,AREX,5.545205479,4.0027397260000015,25.70684932
2013,AREX,4.01,2.64,17.16
2012,AREX,2.65,2.48,16.68
2011,AREX,1.32,2.19,17.38
2010,AREX,0.6779999999999999,0.715,17.233
2009,AREX,0.564,0.573,17.315
2008,AREX,0.478,0.279,19.377
2007,AREX,0.197,0.329,13.153
2006,AREX,0.197,0.329,13.153
2005,AREX,0.197,0.329,13.153
2004,AREX,0.197,0.329,13.153
2003,AREX,0.197,0.329,13.153
2002,AREX,0.197,0.329,13.153
2001,AREX,0.197,0.329,13.153
2000,AREX,0.197,0.329,13.153
1999,AREX,0.197,0.329,13.153
1998,AREX,0.197,0.329,13.153
2018,COG,2.065753425,0.205753425,1999.726027
2017,COG,12.16712329,1.4030136990000002,1796.164384
2016,COG,10.96448087,1.205464481,1640.437158
2015,COG,14.8739726,1.829315068,1550.684932
2014,COG,10.85,1.829315068,1392.0
2013,COG,8.824,1.829315068,1080.0
2012,COG,6.59,1.829315068,693.0
2011,COG,3.95,1.829315068,490.0
2010,COG,2.21,1.829315068,343.76
2009,COG,2.24,1.829315068,268.26
2008,COG,2.14,1.829315068,247.74
2007,COG,2.25,1.829315068,220.48
2006,COG,3.85,1.829315068,218.42
2005,COG,4.76,1.829315068,202.41
2004,COG,5.48,1.829315068,198.99
2003,COG,7.97,1.829315068,201.8356
2002,COG,7.97,1.829315068,202.0
2001,COG,5.468,1.829315068,190.0
2000,COG,2.71,1.829315068,167.0
1999,COG,2.54,1.829315068,195.3
1998,COG,2.016,1.829315068,175.889999
2018,CRC,82.0,16.0,202.0
2017,CRC,83.0,16.0,182.0
2016,CRC,91.0,16.0,197.0
2015,CRC,104.0,18.0,229.0
2014,CRC,99.0,19.0,246.0
2013,CRC,90.0,20.0,260.0
2012,CRC,88.0,17.0,256.0
2011,CRC,80.0,15.0,260.0
2010,CRC,80.0,15.0,260.0
2009,CRC,80.0,15.0,260.0
2008,CRC,80.0,15.0,260.0
2007,CRC,80.0,15.0,260.0
2006,CRC,80.0,15.0,260.0
2005,CRC,80.0,15.0,260.0
2004,CRC,80.0,15.0,260.0
2003,CRC,80.0,15.0,260.0
2002,CRC,80.0,15.0,260.0
2001,CRC,80.0,15.0,260.0
2000,CRC,80.0,15.0,260.0
1999,CRC,80.0,15.0,260.0
1998,CRC,80.0,15.0,260.0
2018,CPE,25.87123288,,42.32054795
2017,CPE,17.96438356,,29.85205479
2016,CPE,11.69398907,,21.19672131
2015,CPE,7.641096000000001,,11.8136
2014,CPE,4.6356,,6.08
2013,CPE,2.5,,8.25
2012,CPE,2.67,,9.8
2011,CPE,2.65,,13.92
2010,CPE,2.353425,,13.40274
2009,CPE,2.772603,,15.726026999999998
2008,CPE,2.58,,15.997
2007,CPE,2.91,,33.81
2006,CPE,4.48,,30.07
2005,CPE,5.03,,21.3
2004,CPE,4.8000001910000005,,31.20000076
