,doc_id,vol_1,vol_1_type,price_1,price_1_type,maturity,instrument_type,product_type,price_2,price_2_type,price_3,price_3_type,price_4,price_4_type,price_5,price_5_type
4,CLR20100226,343,mbbls,$84.00,swapsweightedaverage,20102010,swap,oil,,,,,,,,
5,CLR20100226,148,mbbls,,swapsweightedaverage,20102010,collar,oil,,,,,,,,
7,CLR20100226,410,mbbls,84.22,swapsweightedaverage,20102010,swap,oil,,,,,,,,
8,CLR20100226,228,mbbls,,swapsweightedaverage,20102010,collar,oil,,,,,,,,
10,CLR20100226,414,mbbls,84.22,swapsweightedaverage,20102010,swap,oil,,,,,,,,
11,CLR20100226,598,mbbls,,swapsweightedaverage,20102010,collar,oil,,,,,,,,
13,CLR20100226,414,mbbls,84.22,swapsweightedaverage,20102010,swap,oil,,,,,,,,
14,CLR20100226,598,mbbls,,swapsweightedaverage,20102010,collar,oil,,,,,,,,
4,CLR20100226,343,mbbls,,floor,20102010,swap,oil,,floor,,ceiling,,ceiling,,
5,CLR20100226,148,mbbls,75,floor,20102010,collar,oil,75,floor,96.4,ceiling,96.4,ceiling,,
7,CLR20100226,410,mbbls,,floor,20102010,swap,oil,,floor,,ceiling,,ceiling,,
8,CLR20100226,228,mbbls,75,floor,20102010,collar,oil,75,floor,96.4,ceiling,96.4,ceiling,,
10,CLR20100226,414,mbbls,,floor,20102010,swap,oil,,floor,,ceiling,,ceiling,,
11,CLR20100226,598,mbbls,75,floor,20102010,collar,oil,75,floor,94.50|96.40,ceiling,95.23,ceiling,,
13,CLR20100226,414,mbbls,,floor,20102010,swap,oil,,floor,,ceiling,,ceiling,,
14,CLR20100226,598,mbbls,75,floor,20102010,collar,oil,75,floor,94.50|96.40,ceiling,95.23,ceiling,,
2,CLR20100226,590,mmmbtu,$5.86,swapsweightedaverage,20102010,swap,natural gas,,,,,,,,
4,CLR20100226,3163,mmmbtu,5.85,swapsweightedaverage,20102010,swap,natural gas,,,,,,,,
6,CLR20100226,11863,mmmbtu,6.36,swapsweightedaverage,20112011,swap,natural gas,,,,,,,,
4,CLR20100226,905,mbbls,$80.50,swapsweightedaverage,20102010,swap,oil,,,,,,,,
5,CLR20100226,453,mbbls,,swapsweightedaverage,20102010,collar,oil,,,,,,,,
7,CLR20100226,644,mbbls,,swapsweightedaverage,20102010,collar,oil,,,,,,,,
9,CLR20100226,1278,mbbls,,swapsweightedaverage,20112011,collar,oil,,,,,,,,
4,CLR20100226,905,mbbls,,floor,20102010,swap,oil,,floor,,ceiling,,ceiling,,
5,CLR20100226,453,mbbls,$70.00,floor,20102010,collar,oil,$70.00,floor,$95.00,ceiling,$95.00,ceiling,,
7,CLR20100226,644,mbbls,75,floor,20102010,collar,oil,75,floor,96.75,ceiling,96.75,ceiling,,
9,CLR20100226,1278,mbbls,75,floor,20112011,collar,oil,75,floor,89,ceiling,89,ceiling,,
2,CLR20100226,2700,mmmbtu,$6.18,swapsweightedaverage,20102010,swap,natural gas,,,,,,,,
4,CLR20100226,2710,mmmbtu,6.18,swapsweightedaverage,20102010,swap,natural gas,,,,,,,,
6,CLR20100226,2720,mmmbtu,6.18,swapsweightedaverage,20102010,swap,natural gas,,,,,,,,
8,CLR20100226,2720,mmmbtu,6.18,swapsweightedaverage,20102010,swap,natural gas,,,,,,,,
2,CLR20100226,7200,mmmbtu,$(0.62,swapsweightedaverage,20102010,swap,natural gas,,,,,,,,
4,CLR20110225,915000,bbls,$100.01,swapsweightedaverage,20122012,swap,oil,,,,,,,,
6,CLR20110225,3102500,bbls,,swapsweightedaverage,20132013,collar,oil,,,,,,,,
4,CLR20110225,915000,bbls,,floor,20122012,swap,oil,,floor,,ceiling,,ceiling,,
6,CLR20110225,3102500,bbls,$90|$95,floor,20132013,collar,oil,$91.59,floor,$97.25|$101.60,ceiling,$99.13,ceiling,,
2,CLR20110225,2360000,mmbtu,$4.69,swapsweightedaverage,20112011,swap,natural gas,,,,,,,,
4,CLR20110225,3640000,mmbtu,4.69,swapsweightedaverage,20112011,swap,natural gas,,,,,,,,
6,CLR20110225,3910000,mmbtu,4.69,swapsweightedaverage,20112011,swap,natural gas,,,,,,,,
8,CLR20110225,4232000,mmbtu,4.73,swapsweightedaverage,20112011,swap,natural gas,,,,,,,,
10,CLR20110225,3660000,mmbtu,5.07,swapsweightedaverage,20122012,swap,natural gas,,,,,,,,
5,CLR20110225,284000,bbls,$83.86,swapsweightedaverage,20112011,swap,oil,,,,,,,,
6,CLR20110225,2565000,bbls,,swapsweightedaverage,20112011,collar,oil,,,,,,,,
