,doc_id,maturity,vol_1,vol_1_type,price_1,price_1_type,instrument_type,product_type,price_2,price_2_type,price_3,price_3_type,price_4,price_4_type,"product_type,","instrument_type,",price_5,price_5_type,additional
1,SWN20030218,2003,13.3,bcf,$3.47,weighted average price,swap,natural gas,,,,,,,,,,,
2,SWN20030218,2004,7.2,bcf,$4.01,weighted average price,swap,natural gas,,,,,,,,,,,
1,SWN20030218,2003,15.9,bcf,$3.16,weighted average floor price,collar,natural gas,$4.84,weighted average ceiling price,,,,,,,,,
2,SWN20030218,2004,8,bcf,$3.50,weighted average floor price,collar,natural gas,$4.65,weighted average ceiling price,,,,,,,,,
1,SWN20030218,2003,240,mbbls,$25.40,weighted average price,swap,oil,,,,,,,,,,,
1,SWN20030218,2003,2.7,bcf,$3.42,weighted average price,swap,natural gas,,,,,,,,,,,
1,SWN20040225,2004,8,bcf,$4.21,weighted average price,swap,natural gas,,,,,,,,,,,
2,SWN20040225,2005,6,bcf,$4.67,weighted average price,swap,natural gas,,,,,,,,,,,
1,SWN20040225,2004,23.6,bcf,$3.85,weighted average floor price,collar,natural gas,$6.48,weighted average ceiling price,,,,,,,,,
2,SWN20040225,2005,1,bcf,$4.50,weighted average floor price,collar,natural gas,$8.00,weighted average ceiling price,,,,,,,,,
1,SWN20040225,2004,0.5,bcf,$5.05,weighted average price,swap,natural gas,,,,,,,,,,,
1,SWN20040225,2004,426,mbbls,$28.39,weighted average price,swap,oil,,,,,,,,,,,
1,SWN20040225,2004,3.8,bcf,$5.34,weighted average price,swap,natural gas,,,,,,,,,,,
1,SWN20050308,2005,12.9,bcf,$5.11,weighted average price,swap,natural gas,,,,,,,,,,,
2,SWN20050308,2006,5,bcf,$5.89,weighted average price,swap,natural gas,,,,,,,,,,,
1,SWN20050308,2005,33.4,bcf,$4.68,weighted average floor price,collar,natural gas,$8.30,weighted average ceiling price,,,,,,,,,
2,SWN20050308,2006,22,bcf,$4.64,weighted average floor price,collar,natural gas,$8.69,weighted average ceiling price,,,,,,,,,
1,SWN20050308,2005,0.2,bcf,$6.07,weighted average price,swap,natural gas,,,,,,,,,,,
1,SWN20050308,2005,360,mbbls,$33.17,weighted average price,swap,oil,,,,,,,,,,,
2,SWN20050308,2006,120,mbbls,$37.30,weighted average price,swap,oil,,,,,,,,,,,
1,SWN20050308,2005,2.9,bcf,$6.54,weighted average price,swap,natural gas,,,,,,,,,,,
1,SWN20060306,2006,7.9,bcf,$6.64,weighted average price,swap,natural gas,,,,,,,,,,,
2,SWN20060306,2007,12,bcf,$6.66,weighted average price,swap,natural gas,,,,,,,,,,,
1,SWN20060306,2006,43,bcf,$5.47,weighted average floor price,collar,natural gas,$10.13,weighted average ceiling price,,,,,,,,,
2,SWN20060306,2007,28,bcf,$6.64,weighted average floor price,collar,natural gas,$11.91,weighted average ceiling price,,,,,,,,,
3,SWN20060306,2008,2,bcf,$8.00,weighted average floor price,collar,natural gas,$19.40,weighted average ceiling price,,,,,,,,,
1,SWN20060306,2006,0.2,bcf,$11.11,weighted average price,swap,natural gas,,,,,,,,,,,
1,SWN20060306,2006,120,mbbls,$37.30,weighted average price,swap,oil,,,,,,,,,,,
1,SWN20060306,2006,0.7,bcf,$13.03,weighted average price,swap,natural gas,,,,,,,,,,,
3,SWN20070301,2007,32.5,bcf,7.83,weighted average price,swap,natural gas,-,weighted average floor price,-,weighted average ceiling price,-,weighted average basis differential,natural gas (bcf),fixed price swaps,,,
4,SWN20070301,2008,13,bcf,8.78,weighted average price,swap,natural gas,-,weighted average floor price,-,weighted average ceiling price,-,weighted average basis differential,natural gas (bcf),fixed price swaps,,,
7,SWN20070301,2007,0.2,bcf,Neg7.61,weighted average price,swap,natural gas,-,weighted average floor price,-,weighted average ceiling price,-,weighted average basis differential,natural gas (bcf),floating price swaps,,,
11,SWN20070301,2007,34,bcf,-,weighted average price,collar,natural gas,6.93,weighted average floor price,12.34,weighted average ceiling price,-,weighted average basis differential,natural gas (bcf),costless collars,,,
12,SWN20070301,2008,22,bcf,-,weighted average price,collar,natural gas,7.92,weighted average floor price,13.15,weighted average ceiling price,-,weighted average basis differential,natural gas (bcf),costless collars,,,
15,SWN20070301,2007,31.9,bcf,-,weighted average price,basis swap,natural gas,-,weighted average floor price,-,weighted average ceiling price,Neg0.53,weighted average basis differential,natural gas (bcf),basis swaps,,,
16,SWN20070301,2008,30.1,bcf,-,weighted average price,basis swap,natural gas,-,weighted average floor price,-,weighted average ceiling price,Neg0.48,weighted average basis differential,natural gas (bcf),basis swaps,,,
19,SWN20070301,2007,32.4,bcf,-,weighted average price,basis swap,natural gas,-,weighted average floor price,-,weighted average ceiling price,Neg0.47,weighted average basis differential,natural gas (bcf),matched-basis swaps,,,
20,SWN20070301,2008,8,bcf,-,weighted average price,basis swap,natural gas,-,weighted average floor price,-,weighted average ceiling price,Neg0.73,weighted average basis differential,natural gas (bcf),matched-basis swaps,,,
23,SWN20070301,2007,3.1,bcf,Neg8.83,weighted average price,swap,natural gas,-,weighted average floor price,-,weighted average ceiling price,-,weighted average basis differential,natural gas (bcf),regulatory swaps,,,
3,SWN20080228,2008,55.7,bcf,8.27,weighted average price,fixed price swaps,natural gas (bcf),-,weighted average floor price,-,weighted average ceiling price,-,weighted average basis differential,,,,,
4,SWN20080228,2009,56,bcf,8.2,weighted average price,fixed price swaps,natural gas (bcf),-,weighted average floor price,-,weighted average ceiling price,-,weighted average basis differential,,,,,
7,SWN20080228,2008,48,bcf,-,weighted average price,costless collars,natural gas (bcf),7.92,weighted average floor price,11.6,weighted average ceiling price,-,weighted average basis differential,,,,,
8,SWN20080228,2009,23,bcf,-,weighted average price,costless collars,natural gas (bcf),8.09,weighted average floor price,10.91,weighted average ceiling price,-,weighted average basis differential,,,,,
11,SWN20080228,2008,63.2,bcf,-,weighted average price,basis swaps,natural gas (bcf),-,weighted average floor price,-,weighted average ceiling price,Neg0.45,weighted average basis differential,,,,,
12,SWN20080228,2009,3.6,bcf,-,weighted average price,basis swaps,natural gas (bcf),-,weighted average floor price,-,weighted average ceiling price,Neg0.44,weighted average basis differential,,,,,
15,SWN20080228,2008,8,bcf,-,weighted average price,matched-basis swaps,natural gas (bcf),-,weighted average floor price,-,weighted average ceiling price,Neg0.73,weighted average basis differential,,,,,
8,SWN20090226,2009,77.3,bcf,8.33,weighted average price,fixed price swaps,natural gas,,weighted average floor price,,weighted average ceiling price,,weighted average basis differential,,,,,
9,SWN20090226,2010,36,bcf,9.04,weighted average price,fixed price swaps,natural gas,,weighted average floor price,,weighted average ceiling price,,weighted average basis differential,,,,,
12,SWN20090226,2009,59,bcf,,weighted average price,costless collars,natural gas,8.71,weighted average floor price,11.69,weighted average ceiling price,,weighted average basis differential,,,,,
13,SWN20090226,2010,14,bcf,,weighted average price,costless collars,natural gas,8.29,weighted average floor price,10.57,weighted average ceiling price,,weighted average basis differential,,,,,
16,SWN20090226,2009,50,bcf,,weighted average price,basis swaps,natural gas,,weighted average floor price,,weighted average ceiling price,Neg0.51,weighted average basis differential,,,,,
17,SWN20090226,2010,32,bcf,,weighted average price,basis swaps,natural gas,,weighted average floor price,,weighted average ceiling price,Neg0.30,weighted average basis differential,,,,,
18,SWN20090226,2011,7.2,bcf,,weighted average price,basis swaps,natural gas,,weighted average floor price,,weighted average ceiling price,Neg0.28,weighted average basis differential,,,,,
8,SWN20100225,2010,36,bcf,9.04,weighted average price,swap,natural gas,,weighted average floor price,,weighted average ceiling price,,weighted average basis differential,,,,,
9,SWN20100225,2011,30,bcf,6.69,weighted average price,swap,natural gas,,weighted average floor price,,weighted average ceiling price,,weighted average basis differential,,,,,
12,SWN20100225,2010,30,bcf,,weighted average price,costless-collars,natural gas,6.8,weighted average floor price,8.43,weighted average ceiling price,,weighted average basis differential,,,,,
15,SWN20100225,2010,46.5,bcf,,weighted average price,basis swaps,natural gas,,weighted average floor price,,weighted average ceiling price,Neg0.37,weighted average basis differential,,,,,
16,SWN20100225,2011,9,bcf,,weighted average price,basis swaps,natural gas,,weighted average floor price,,weighted average ceiling price,Neg0.35,weighted average basis differential,,,,,
8,SWN20110225,2011,66.8,bcf,$5.76,weighted average price,swap,natural gas,,weighted average floor price,,weighted average ceiling price,,weighted average basis differential,,,,,
9,SWN20110225,2012,68.1,bcf,$5.00,weighted average price,swap,natural gas,,weighted average floor price,,weighted average ceiling price,,weighted average basis differential,,,,,
10,SWN20110225,2013,36.5,bcf,$5.00,weighted average price,swap,natural gas,,weighted average floor price,,weighted average ceiling price,,weighted average basis differential,,,,,
13,SWN20110225,2011,2.5,bcf,$4.79,weighted average price,floating price swaps,natural gas,,weighted average floor price,,weighted average ceiling price,,weighted average basis differential,,,,,
14,SWN20110225,2012,4.4,bcf,$5.67,weighted average price,floating price swaps,natural gas,,weighted average floor price,,weighted average ceiling price,,weighted average basis differential,,,,,
17,SWN20110225,2011,62.1,bcf,,weighted average price,costless-collars,natural gas,$5.09,weighted average floor price,$6.50,weighted average ceiling price,,weighted average basis differential,,,,,
18,SWN20110225,2012,80.5,bcf,,weighted average price,costless-collars,natural gas,$5.50,weighted average floor price,$6.67,weighted average ceiling price,,weighted average basis differential,,,,,
21,SWN20110225,2011,12,bcf,,weighted average price,basis swaps,natural gas,,weighted average floor price,,weighted average ceiling price,-$0.28,weighted average basis differential,,,,,
8,SWN20120228,2012,185.9,bcf,$5.02,weighted average price,fixed price swaps,natural gas,,weighted average floor price,,weighted average ceiling price,,weighted average basis differential,,,,,
9,SWN20120228,2013,185.2,bcf,$5.06,weighted average price,fixed price swaps,natural gas,,weighted average floor price,,weighted average ceiling price,,weighted average basis differential,,,,,
12,SWN20120228,2012,5.7,bcf,$5.21,weighted average price,floating price swaps,natural gas,,weighted average floor price,,weighted average ceiling price,,weighted average basis differential,,,,,
15,SWN20120228,2012,80.5,bcf,,weighted average price,costless-collars,natural gas,$5.50,weighted average floor price,$6.67,weighted average ceiling price,,weighted average basis differential,,,,,
18,SWN20120228,2012,36.6,bcf,,weighted average price,basis swaps,natural gas,,weighted average floor price,,weighted average ceiling price,$0.09,weighted average basis differential,,,,,
19,SWN20120228,2013,30.1,bcf,,weighted average price,basis swaps,natural gas,,weighted average floor price,,weighted average ceiling price,$0.07,weighted average basis differential,,,,,
20,SWN20120228,2014,9.1,bcf,,weighted average price,basis swaps,natural gas,,weighted average floor price,,weighted average ceiling price,-$0.03,weighted average basis differential,,,,,
8,SWN20130221,2013,185.6,bcf,$5.06,weighted average price,fixed price swaps,natural gas,,call,,weighted average basis differential,,,,,,,
9,SWN20130221,2014,18.3,bcf,$4.51,weighted average price,fixed price swaps,natural gas,,call,,weighted average basis differential,,,,,,,
12,SWN20130221,2013,30.1,bcf,,weighted average price,basis swaps,natural gas,,call,$0.07,weighted average basis differential,,,,,,,
13,SWN20130221,2014,9.1,bcf,,weighted average price,basis swaps,natural gas,,call,-$0.03,weighted average basis differential,,,,,,,
16,SWN20130221,2015,18.3,bcf,,weighted average price,fixed price call options,natural gas,$5.50,call,,weighted average basis differential,,,,,,,
4,SWN20140227,2014,382.3,bcf,$4.33,weighted average price,swap,natural gas,,weighted average floor price,,weighted average basis differential,,,,,,,
7,SWN20140227,2014,21.3,bcf,,weighted average price,basis swaps,natural gas,,weighted average floor price,$0.01,weighted average basis differential,,,,,,,
8,SWN20140227,2015,0.9,bcf,,weighted average price,basis swaps,natural gas,,weighted average floor price,$0.17,weighted average basis differential,,,,,,,
11,SWN20140227,2015,199.8,bcf,,weighted average price,fixed price call options,natural gas,$5.09,weighted average floor price,,weighted average basis differential,,,,,,,
3,SWN20150226,2015,240,bcf,$4.40,weighted average price,swap,natural gas,,weighted average floor price,,weighted average basis differential,,,,,,,
5,SWN20150226,2015,22,bcf,,weighted average price,basis swaps,natural gas,,weighted average floor price,$0.05,weighted average basis differential,,,,,,,
