doc_id,ticker,datetime_1,datetime_1_type,additional,instrument_type,product_type,vol_1,vol_1_type,vol_2,vol_2_type,vol_3,vol_3_type,vol_4,vol_4_type
APA20060314,APA,2006,,,collar,natural gas,90000,,,,,,,
APA20060314,APA,2006,,,swap,natural gas,12065,,,,,,,
APA20060314,APA,2006,,,collar,oil,11800,,,,,,,
APA20060314,APA,2006,,,swap,oil,614,,,,,,,
APA20060314,APA,2006,,,"put option, put",oil,4200,,,,,,,
APA20070301,APA,2007,,,collar,natural gas,147315,,,,,,,
APA20070301,APA,2007,,,collar,natural gas,65000,,,,,,,
APA20070301,APA,2007,,,collar,natural gas,9500,,,,,,,
APA20070301,APA,2007,,,collar,oil,17735,,,,,,,
APA20070301,APA,2007,,,swap,natural gas,4825,,,,,,,
APA20070301,APA,2007,,,swap,oil,12214,,,,,,,
APA20080229,APA,2008,,,collar,natural gas,245671,,,,,,,
APA20080229,APA,2008,,,collar,natural gas,85735,,,,,,,
APA20080229,APA,2008,,,collar,oil,33592,,,,,,,
APA20080229,APA,2008,,,swap,oil,12533,,,,,,,
APA20090302,APA,2009,,,swap,oil,368,,,,,,,
APA20090302,APA,2009,,,"collar, call",oil,9321,,,,,,,
APA20090302,APA,2009,,,collar,natural gas,18250,,,,,,,
APA20090302,APA,2009,,,collar,natural gas,27740,,,,,,,
APA20100226,APA,2010,,,swap,oil,2383,,,,,,,
APA20100226,APA,2010,,,collar,oil,10396,,,,,,,
APA20100226,APA,2010,,,swap,natural gas,82125,,,,,,,
APA20100226,APA,2010,,,swap,natural gas,52013,,,,,,,
APA20100226,APA,2010,,,collar,natural gas,30550,,,,,,,
APA20100226,APA,2010,,,,natural gas,41975,,,,,,,
APA20110228,APA,2011,,,swap,oil,5628,,,,,,,
APA20110228,APA,2011,,,collar,oil,30110,,,,,,,
APA20110228,APA,2011,,,swap,natural gas,75927,,,,,,,
APA20110228,APA,2011,,,swap,natural gas,48545,,,,,,,
APA20110228,APA,2011,,,collar,natural gas,9125,,,,,,,
APA20110228,APA,2011,,,collar,natural gas,3468,,,,,,,
APA20120229,APA,2012,,,swap,oil,4110,,,,,,,
APA20120229,APA,2012,,,collar,oil,12628,,,,,,,
APA20120229,APA,2012,,,swap,natural gas,48349,,,,,,,
APA20120229,APA,2012,,,swap,natural gas,41724,,,,,,,
APA20120229,APA,2012,,,collar,natural gas,21960,,,,,,,
APA20120229,APA,2012,,,collar,natural gas,6954,,,,,,,
APA20130301,APA,2013,,,swap,oil,40292,,,,,,,
APA20130301,APA,2013,,,collar,oil,5701,,,,,,,
APA20130301,APA,2013,,,swap,natural gas,10095,,,,,,,
APA20130301,APA,2013,,,collar,natural gas,6825,,,,,,,
APA20140228,APA,2014,,,swap,oil,22889,,,,,,,
APA20140228,APA,2014,,,swap,oil,22812,,,,,,,
APA20140228,APA,2014,,,swap,natural gas,1295,,,,,,,
