exchange,year,comname,ticker,TOTAL_PRODUCTION,OIL_PRODUCTION,NGL_PRODUCTION,GAS_PRODUCTION,PRICE_OIL_HEDGED,PRICE_GAS_HEDGED,PRICE_OIL_UNHEDGED,PRICE_GAS_UNHEDGED,TOTAL_LINE_OF_CREDIT,TOTAL_CREDIT_UTILIZED,AVAIL_LINE_OF_CREDIT,Debt_Yr_1,Debt_YR_23,Debt_YR_45,Debt_yr_ge5,Remaining_DEBT,OIL_RESERVE,GAS_RESERVE,OilGas_reserve,OIL_DEVELOPED_RESV,GAS_DEVELOPED_RESV
US,2018,    Anadarko Petroleum Corp,APC,666,385,103,1069,,,65.51,2.57,2000,28,220,928,1177,890,14666,17661,935,3230,1473,717,2588
US,2017,    Anadarko Petroleum Corp,APC,672,355,99,1309,,,50.66,2.82,1500,28,222,481,1298,1970,13283,17032,901,3230,1439,683,2664
US,2016,    Anadarko Petroleum Corp,APC,793,316,128,2093,,,40.34,2.04,6200,5,6190,34,1409,1300,13963,16706,985,4424,1722,715,3662
US,2015,    Anadarko Petroleum Corp,APC,836,317,130,2334,,,46.79,2.36,6200,550,5644,2033,2516,1200,,33043,1053,6021,2057,763,5214
US,2014,    Anadarko Petroleum Corp,APC,843,292,119,2589,,,91.58,4.07,6200,523,5677,0,3750,1874,,31758,1408,8699,2858,859,6662
US,2013,    Anadarko Petroleum Corp,APC,781,248,91,2652,,,101.41,3.5,5800,,5800,775,1750,2364,,26622,1258,9205,2792,817,7120
US,2012,    Anadarko Petroleum Corp,APC,731.0233333,233,82.19,2495,,,102.35,2.68,5800,,5800,0,775,3750,10427,14952,1172,8329,2560,809,6445
US,2011,    Anadarko Petroleum Corp,APC,680,217,74,2334,,,89.52,3.87,5800,400,5400,170,775,4250,11757,15230,1145,8365,2539,792,6113
US,2010,    Anadarko Petroleum Corp,APC,642.6666667,201,63,2272,,,76.22,4.12,5450,426,5024,285,469,775,13007,14536,1069,8117,2422,675,5982
US,2009,    Anadarko Petroleum Corp,APC,603.5,187,47,2217,,,58.72,3.61,1650,,1650,0,3476,775,10257,29016,1010,7764,2304,643,5884
US,2008,    Anadarko Petroleum Corp,APC,562.5,182,39,2049,97.21,8.34,96.05,7.69,1300,,1300,1472,1625,1991,9032,14120,926,8105,2277,580,6117
US,2007,    Anadarko Petroleum Corp,APC,577.1166667,215.4,44,1912.3,61.19,5.9,68.68,5.74,750,,750,1396,2052,1877,9032,16558,1014,8504,2431,574,6308
US,2006,    Anadarko Petroleum Corp,APC,489.8333333,193,42,1529,65.44,7.5,60.29,6.14,750,33,717,11471,2449,1625,9284,36308,1264,10486,3011,719,7618
US,2005,    Anadarko Petroleum Corp,APC,380.3333333,155,36,1136,47.84,7.16,51.03,7.44,750,,750,122,547,52,3074,3796,1130,7910,2449,594,5577
US,2004,    Anadarko Petroleum Corp,APC,520.1666667,185,45,1741,32.76,5.15,37.03,5.42,750,1,749,170,265,457,3074,3966,1113,7528,2367,606,5466
US,2003,    Anadarko Petroleum Corp,APC,524.6666667,184,47,1762,26.55,4.43,27.97,4.7,750,,750,0,462,1127,3613,5202,1226,7724,2513.333333,746,5889
US,2002,    Anadarko Petroleum Corp,APC,539.3333333,205,41,1760,22.44,2.85,22.76,2.71,750,,750,300,200,912,4207,5619,1131,7180,2327.666667,686,5294
US,2001,    Anadarko Petroleum Corp,APC,427.3333333,68,42,1904,20.56,4.25,19.92,3.99,525,69,456,708,1003,432,3052,5195,1132,7035,2304.5,626,5275
US,2000,    Anadarko Petroleum Corp,APC,306.3333333,98,33,1052,26.49,4.13,26.62,4.12,750,199,551,102,653,208,0,,1046,6093,2061.5,597,5160
US,1999,    Anadarko Petroleum Corp,APC,135.5,40,18,465,16.83,2.08,,,510,,510,100,443.322,200,0,,573,2507,990.8333333,195,1672
US,1998,    Anadarko Petroleum Corp,APC,129.3589935,30.48200035,18.19199944,484.1099854,11.51000023,1.919999957,,,,,,,,,,,494,2647,935.1669922,163.6999969,1640
