exchange,year,fqtr,comname,ticker,TOTAL_PRODUCTION,OIL_PRODUCTION,NGL_PRODUCTION,GAS_PRODUCTION,PRICE_OIL_HEDGED,PRICE_GAS_HEDGED,PRICE_OIL_UNHEDGED,PRICE_GAS_UNHEDGED,TOTAL_LINE_OF_CREDIT,TOTAL_CREDIT_UTILIZED,AVAIL_LINE_OF_CREDIT,Debt_Yr_1,Debt_YR_23,Debt_YR_45,Debt_yr_ge5,Remaining_DEBT
US,2019,2,    Anadarko Petroleum Corp,APC,743.5,434,115,1167,,,62.45,1.93,5000,1862,3100,,,,,19433
US,2019,1,    Anadarko Petroleum Corp,APC,714.8333333,412,111,1151,,,56.51,3.09,5000,640,0,,,,,17674
US,2018,4,    Anadarko Petroleum Corp,APC,701.3333333,407,108,1118,,,59.86,3.14,2000,28,220,928,1177,890,14666,17661
US,2018,3,    Anadarko Petroleum Corp,APC,681.5,397,106,1071,,,70.37,2.35,6820,278,6502,,,,,16467
US,2018,2,    Anadarko Petroleum Corp,APC,636.8333333,364,100,1037,,,68.43,2.15,6760,278,6502,,,,,16064
US,2018,1,    Anadarko Petroleum Corp,APC,,,,,,,,,6500,28,0,,,,,16174
US,2017,4,    Anadarko Petroleum Corp,APC,637.3333333,367,93,1064,,,56.32,2.63,1500,28,222,481,1298,1970,13283,17032
US,2017,3,    Anadarko Petroleum Corp,APC,626,353,92,1086,,,48.31,2.69,2700,28,945,,,,,16921
US,2017,2,    Anadarko Petroleum Corp,APC,631.3333333,331,94,1238,,,47.19,2.84,6450,528,6257,,,,,15237
US,2017,1,    Anadarko Petroleum Corp,APC,794.8333333,367,118,1859,,,50.34,3,6450,528,6417,,,,,15083
US,2016,4,    Anadarko Petroleum Corp,APC,773.5,336,124,1881,,,47.01,2.56,6200,5,6190,34,1409,1300,13963,16706
US,2016,3,    Anadarko Petroleum Corp,APC,782.6086957,317,129,2003,,,42.49,2.36,6200,20,6175,,,,,18573
US,2016,2,    Anadarko Petroleum Corp,APC,791.6666667,296,131,2188,,,41.77,1.61,6450,568,5877,,,,,15653
US,2016,1,    Anadarko Petroleum Corp,APC,826.8333333,315,128,2303,,,29.65,1.75,6450,658,5787,,,,,18731
US,2015,4,    Anadarko Petroleum Corp,APC,778.6666667,316,118,2068,,,39.71,2.08,6200,550,5644,2033,2516,1200,,33043
US,2015,3,    Anadarko Petroleum Corp,APC,787,301,122,2186,,,44.45,2.41,6200,727,5460,,,,,33401
US,2015,2,    Anadarko Petroleum Corp,APC,846,318,136,2354,,,55.78,2.28,6200,862,5325,,,,,16037
US,2015,1,    Anadarko Petroleum Corp,APC,934.3333333,335,143,2738,,,47.12,2.6,6200,1120,5067,,,,,35294
US,2014,4,    Anadarko Petroleum Corp,APC,853.8333333,300,129,2549,,,71.67,3.46,6200,523,5677,0,3750,1874,,31758
US,2014,3,    Anadarko Petroleum Corp,APC,849,303,130,2494,,,94.56,3.62,6200,183,6004,,,,,29448
US,2014,2,    Anadarko Petroleum Corp,APC,848,291,120,2620,,,102.04,4.16,6200,123,6064,,,,,15037
US,2014,1,    Anadarko Petroleum Corp,APC,819,270,99,2697,,,99.37,5.01,6200,,6200,,,,,15202
US,2013,4,    Anadarko Petroleum Corp,APC,805.5,265,100,2643,,,99.2,3.46,5800,,5800,775,1750,2364,,26622
US,2013,3,    Anadarko Petroleum Corp,APC,775,245,92,2629,,,106.05,3.33,5800,113,5687,,,,,15302
US,2013,2,    Anadarko Petroleum Corp,APC,750,226,83,2647,,,97.21,3.88,5800,263,5537,,,,,15202
