date,comnam,ticker,permno,permco,vol,shrout,mv_permco,ret1,F1ret,prc,year,month,logsize,L1ret_1,L1ret_6,L1ret_11
31jan1969,"HESS OIL & CHEM CORP","HES",28484,20064,2737,10646,617.468,-.014862,-.1077586,58,1969,1,6.425627,-.1135338,.1717699,.485216
28feb1969,"HESS OIL & CHEM CORP","HES",28484,20064,2298,10646,550.9305,-.1077586,.0594203,51.75,1969,2,6.311609,-.014862,.2958359,.5821781
28mar1969,"HESS OIL & CHEM CORP","HES",28484,20064,5069,10646,582.8685,.0594203,.0707763,54.75,1969,3,6.367962,-.1077586,-.0391777,.2909082
30apr1969,"HESS OIL & CHEM CORP","HES",28484,20064,4344,10646,624.1218,.0707763,.0319829,58.625,1969,4,6.436346,.0594203,-.03269,.2764401
29may1969,"HESS OIL & CHEM CORP","HES",28484,20064,3059,10646,644.083,.0319829,-.0690083,60.5,1969,5,6.467828,.0707763,.0112704,.1291659
30jun1969,"AMERADA HESS CORP","AHC",28484,20064,2348,10646,598.8375,-.0690083,-.1266667,56.25,1969,6,6.39499,.0319829,-.0878188,.2057612
31jul1969,"AMERADA HESS CORP","AHC",28484,20064,2938,10646,522.9847,-.1266667,-.0025445,49.125,1969,7,6.259552,-.0690083,-.0420016,.2601369
29aug1969,"AMERADA HESS CORP","AHC",28484,20064,5525,10646,521.654,-.0025445,-.1617347,49,1969,8,6.257005,-.1266667,-.1507261,-.0854479
30sep1969,"AMERADA HESS CORP","AHC",28484,20064,7415,10646,436.486,-.1617347,-.0426829,41,1969,9,6.078756,-.0025445,-.0505788,-.1331253
31oct1969,"AMERADA HESS CORP","AHC",28484,20064,5886,10646,417.8555,-.0426829,-.1082803,39.25,1969,10,6.035136,-.1617347,-.2487714,-.2905192
28nov1969,"AMERADA HESS CORP","AHC",28484,20064,3109,10646,372.61,-.1082803,-.1371429,35,1969,11,5.920532,-.0426829,-.3283714,-.40634
31dec1969,"AMERADA HESS CORP","AHC",28484,20064,4238,10843,326.6454,-.1371429,-.0788382,30.125,1969,12,5.788875,-.1082803,-.4196566,-.4028217
30jan1970,"AMERADA HESS CORP","AHC",28484,20064,2254,10843,300.8932,-.0788382,-.1081081,27.75,1970,1,5.706756,-.1371429,-.462129,-.4769468
27feb1970,"AMERADA HESS CORP","AHC",28484,20064,3953,10843,268.3643,-.1081081,.0383838,24.75,1970,2,5.592345,-.0788382,-.4326723,-.4599929
31mar1970,"AMERADA HESS CORP","AHC",28484,20064,958,10843,277.8519,.0383838,-.1170732,25.625,1970,3,5.627088,-.1081081,-.4927142,-.5453854
30apr1970,"AMERADA HESS CORP","AHC",28484,20064,1674,10843,245.3229,-.1170732,.0994475,22.625,1970,4,5.502575,.0383838,-.3716102,-.5591382
29may1970,"AMERADA HESS CORP","AHC",28484,20064,2324,10843,269.7196,.0994475,.1052764,24.875,1970,5,5.597383,-.1170732,-.4204405,-.6228147
30jun1970,"AMERADA HESS CORP","AHC",28484,20064,2215,11114,297.2995,.1052764,.2056075,26.75,1970,6,5.69474,.0994475,-.285431,-.554566
31jul1970,"AMERADA HESS CORP","AHC",28484,20064,5784,11114,358.4265,.2056075,.1356589,32.25,1970,7,5.881724,.1052764,-.0846732,-.436266
31aug1970,"AMERADA HESS CORP","AHC",28484,20064,5506,11114,407.0503,.1356589,.0395904,36.625,1970,8,6.008937,.2056075,.1979706,-.3186243
30sep1970,"AMERADA HESS CORP","AHC",28484,20064,3997,11114,422.332,.0395904,.1578947,38,1970,9,6.045792,.1356589,.5253934,-.0768907
30oct1970,"AMERADA HESS CORP","AHC",28484,20064,8159,11114,489.016,.1578947,.0113636,44,1970,10,6.192395,.0395904,.5271659,.0024427
30nov1970,"AMERADA HESS CORP","AHC",28484,20064,6265,11114,494.573,.0113636,.0578652,44.5,1970,11,6.203695,.1578947,1.002768,.301668
31dec1970,"AMERADA HESS CORP","AHC",28484,20064,5756,11176,525.272,.0578652,.0345745,47,1970,12,6.263916,.0113636,.8423131,.5256984
29jan1971,"AMERADA HESS CORP","AHC",28484,20064,5534,11176,543.433,.0345745,.0488432,48.625,1971,1,6.297906,.0578652,.7632864,.7521169
26feb1971,"AMERADA HESS CORP","AHC",28484,20064,6590,11176,569.976,.0488432,.1387255,51,1971,2,6.345594,.0345745,.5131385,1.032416
31mar1971,"AMERADA HESS CORP","AHC",28484,20064,5758,11176,648.208,.1387255,.137931,58,1971,3,6.474212,.0488432,.3974662,1.052888
30apr1971,"AMERADA HESS CORP","AHC",28484,20064,5050,11176,737.616,.137931,-.0435606,66,1971,4,6.603424,.1387255,.5307282,1.647644
28may1971,"AMERADA HESS CORP","AHC",28484,20064,3927,11176,705.485,-.0435606,.1459406,63.125,1971,5,6.558886,.137931,.5043364,1.740319
30jun1971,"AMERADA HESS CORP","AHC",28484,20064,7372,11455,807.5775,.1459406,-.0975177,70.5,1971,6,6.694039,-.0435606,.4226402,1.371306
30jul1971,"AMERADA HESS CORP","AHC",28484,20064,8154,11455,728.8244,-.0975177,-.1571709,63.625,1971,7,6.591433,.1459406,.5410859,1.253947
31aug1971,"AMERADA HESS CORP","AHC",28484,20064,18347,11455,614.2744,-.1571709,.0107226,53.625,1971,8,6.420442,-.0975177,.3443235,.7911606
30sep1971,"AMERADA HESS CORP","AHC",28484,20064,14439,11455,620.0019,.0107226,-.187067,54.125,1971,9,6.429722,-.1571709,.080271,.452151
29oct1971,"AMERADA HESS CORP","AHC",28484,20064,15116,11455,504.02,-.187067,-.0795455,44,1971,10,6.222616,.0107226,-.041161,.267578
30nov1971,"AMERADA HESS CORP","AHC",28484,20064,9805,11455,463.9275,-.0795455,.0327161,40.5,1971,11,6.139728,-.187067,-.3150096,.0188778
31dec1971,"AMERADA HESS CORP","AHC",28484,20064,10050,18668,779.389,.0327161,-.0269461,41.75,1971,12,6.65851,-.0795455,-.3407815,-.1134686
31jan1972,"AMERADA HESS CORP","AHC",28484,20064,6501,18668,758.3875,-.0269461,.1723077,40.625,1972,1,6.631195,.0327161,-.4059155,-.115061
29feb1972,"AMERADA HESS CORP","AHC",28484,20064,11011,18668,889.0635,.1723077,-.0404199,47.625,1972,2,6.790169,-.0269461,-.3594597,-.1790066
30mar1972,"AMERADA HESS CORP","AHC",28484,20064,8304,18668,851.7275,-.0404199,.0465753,45.625,1972,3,6.747267,.1723077,-.1090598,-.1547947
28apr1972,"AMERADA HESS CORP","AHC",28484,20064,8370,18668,891.397,.0465753,.1256544,47.75,1972,4,6.79279,-.0404199,-.1541414,-.287266
31may1972,"AMERADA HESS CORP","AHC",28484,20064,7250,18668,1003.405,.1256544,-.0546512,53.75,1972,5,6.911155,.0465753,.0889639,-.2200971
30jun1972,"AMERADA HESS CORP","AHC",28484,20064,4646,19135,947.1825,-.0546512,-.1363636,49.5,1972,6,6.853492,.1256544,.3317302,-.2339034
31jul1972,"AMERADA HESS CORP","AHC",28484,20064,6442,19135,818.0212,-.1363636,.2397661,42.75,1972,7,6.706888,-.0546512,.2190665,-.197515
31aug1972,"AMERADA HESS CORP","AHC",28484,20064,10784,19135,1014.155,.2397661,-.0976415,53,1972,8,6.921811,-.1363636,.0819855,-.1777037
29sep1972,"AMERADA HESS CORP","AHC",28484,20064,7923,19135,913.6962,-.0976415,-.0732984,47.75,1972,9,6.817498,.2397661,.1442464,.0086399
31oct1972,"AMERADA HESS CORP","AHC",28484,20064,11897,19135,846.7238,-.0732984,.0564972,44.25,1972,10,6.741374,-.0976415,.0760128,.1195937
30nov1972,"AMERADA HESS CORP","AHC",28484,20064,8343,19135,894.5613,.0564972,-.0385027,46.75,1972,11,6.796333,-.0732984,-.0472327,.1271923
29dec1972,"AMERADA HESS CORP","AHC",28484,20064,18583,20804,933.5795,-.0385027,-.1030641,44.875,1972,12,6.839026,.0564972,-.1057682,.1531489
31jan1973,"AMERADA HESS CORP","AHC",28484,20064,14254,20804,837.361,-.1030641,.015528,40.25,1973,1,6.730255,-.0385027,-.0904929,.1394535
28feb1973,"AMERADA HESS CORP","AHC",28484,20064,7452,20804,850.3635,.015528,-.1602446,40.875,1973,2,6.745664,-.1030641,-.0554247,-.1282009
30mar1973,"AMERADA HESS CORP","AHC",28484,20064,7722,20804,712.537,-.1602446,.1131387,34.25,1973,3,6.568832,.015528,-.2262713,-.077371
30apr1973,"AMERADA HESS CORP","AHC",28484,20064,5387,20804,793.1525,.1131387,-.147541,38.125,1973,4,6.676015,-.1602446,-.2799504,-.2596973
31may1973,"AMERADA HESS CORP","AHC",28484,20064,4492,20804,676.13,-.147541,.0982692,32.5,1973,5,6.516386,.1131387,-.1350883,-.2679284
29jun1973,"AMERADA HESS CORP","AHC",28484,20064,3221,21324,741.009,.0982692,-.0359712,34.75,1973,6,6.608013,-.147541,-.3021261,-.3398617
31jul1973,"AMERADA HESS CORP","AHC",28484,20064,2846,21324,714.354,-.0359712,-.0149254,33.5,1973,7,6.571379,.0982692,-.2028543,-.1605151
31aug1973,"AMERADA HESS CORP","AHC",28484,20064,3816,21324,703.692,-.0149254,.3545454,33,1973,8,6.556341,-.0359712,-.143226,-.3472256
28sep1973,"AMERADA HESS CORP","AHC",28484,20064,5759,21324,951.5835,.3545454,-.1792717,44.625,1973,9,6.858128,-.0149254,-.1689187,-.287388
31oct1973,"AMERADA HESS CORP","AHC",28484,20064,6715,21324,780.9915,-.1792717,-.1365188,36.625,1973,10,6.660564,.3545454,.340554,.041614
30nov1973,"AMERADA HESS CORP","AHC",28484,20064,5989,21324,674.3715,-.1365188,.2079051,31.625,1973,11,6.513781,-.1792717,-.0115961,-.1908335
31dec1973,"AMERADA HESS CORP","AHC",28484,20064,5522,21661,825.8256,.2079051,-.0983607,38.125,1973,12,6.716383,-.1365188,.0011839,-.2733209
31jan1974,"AMERADA HESS CORP","AHC",28484,20064,3267,21661,744.5969,-.0983607,-.0254545,34.375,1974,1,6.612843,.2079051,.1011281,-.02138
28feb1974,"AMERADA HESS CORP","AHC",28484,20064,4825,21661,725.6435,-.0254545,-.0574627,33.5,1974,2,6.587059,-.0983607,.029866,-.1311295
29mar1974,"AMERADA HESS CORP","AHC",28484,20064,4193,21661,682.3215,-.0574627,-.1428571,31.5,1974,3,6.525501,-.0254545,.018858,.0083339
30apr1974,"AMERADA HESS CORP","AHC",28484,20064,3683,21661,584.847,-.1428571,-.1805556,27,1974,4,6.37135,-.0574627,-.2910451,-.1462049
31may1974,"AMERADA HESS CORP","AHC",28484,20064,3176,21661,479.2496,-.1805556,-.1627119,22.125,1974,5,6.172222,-.1428571,-.2595897,-.1415137
28jun1974,"AMERADA HESS CORP","AHC",28484,20064,5751,22203,399.654,-.1627119,.0416667,18,1974,6,5.990599,-.1805556,-.29735,-.3594632
31jul1974,"AMERADA HESS CORP","AHC",28484,20064,2743,22203,416.3062,.0416667,-.08,18.75,1974,7,6.031421,-.1627119,-.5129415,-.4436744
30aug1974,"AMERADA HESS CORP","AHC",28484,20064,3174,22203,383.0017,-.08,.026087,17.25,1974,8,5.94804,.0416667,-.4372998,-.4117138
30sep1974,"AMERADA HESS CORP","AHC",28484,20064,3405,22203,391.3279,.026087,-.1205674,17.625,1974,9,5.969546,-.08,-.4687942,-.6004392
31oct1974,"AMERADA HESS CORP","AHC",28484,20064,7506,22203,344.1465,-.1205674,0,15.5,1974,10,5.841067,.026087,-.4217063,-.5004629
29nov1974,"AMERADA HESS CORP","AHC",28484,20064,5766,22203,344.1465,0,.0209677,15.5,1974,11,5.841067,-.1205674,-.406668,-.4912349
31dec1974,"AMERADA HESS CORP","AHC",28484,20064,4993,22203,349.6972,.0209677,.1349206,15.75,1974,12,5.857068,0,-.2759338,-.5788038
31jan1975,"AMERADA HESS CORP","AHC",28484,20064,9182,22203,396.8786,.1349206,.1048951,17.875,1975,1,5.983631,.0209677,-.1170922,-.5230601
28feb1975,"AMERADA HESS CORP","AHC",28484,20064,8716,22203,438.5092,.1048951,-.135443,19.75,1975,2,6.083381,.1349206,-.0380509,-.4445729
31mar1975,"AMERADA HESS CORP","AHC",28484,20064,4011,22203,377.451,-.135443,.0147059,17,1975,3,5.933441,.1048951,.1552748,-.3488972
30apr1975,"AMERADA HESS CORP","AHC",28484,20064,6014,22203,383.0017,.0147059,.0869565,17.25,1975,4,5.94804,-.135443,-.0265923,-.3432653
30may1975,"AMERADA HESS CORP","AHC",28484,20064,11477,22203,416.3062,.0869565,.0973333,18.75,1975,5,6.031421,.0147059,.123136,-.1867751
30jun1975,"AMERADA HESS CORP","AHC",28484,20064,9046,22772,455.44,.0973333,-.0125,20,1975,6,6.121264,.0869565,.2208,.0557179
31jul1975,"AMERADA HESS CORP","AHC",28484,20064,9789,22772,449.747,-.0125,-.1075949,19.75,1975,7,6.108685,.0973333,.3121125,.1121354
29aug1975,"AMERADA HESS CORP","AHC",28484,20064,2887,22772,401.3565,-.1075949,-.0595745,17.625,1975,8,5.99485,-.0125,.1416755,.1937323
30sep1975,"AMERADA HESS CORP","AHC",28484,20064,5317,22772,375.738,-.0595745,-.0227273,16.5,1975,9,5.928892,-.1075949,-.077888,.0382091
31oct1975,"AMERADA HESS CORP","AHC",28484,20064,4831,22772,367.1985,-.0227273,-.0542636,16.125,1975,10,5.905902,-.0595745,.0030313,.1102139
28nov1975,"AMERADA HESS CORP","AHC",28484,20064,4480,22772,347.273,-.0542636,.1032787,15.25,1975,11,5.850111,-.0227273,-.0339712,.0849817
31dec1975,"AMERADA HESS CORP","AHC",28484,20064,4347,22772,381.431,.1032787,.1716418,16.75,1975,12,5.94393,-.0542636,-.1594801,.0050335
30jan1976,"AMERADA HESS CORP","AHC",28484,20064,12942,22772,446.9005,.1716418,-.0382166,19.625,1976,1,6.102336,.1032787,-.1549261,-.0229872
