,doc_id,datetime_1,datetime_1_type,vol_1,vol_1_type,price_1,price_1_type,price_2,price_2_type,instrument_type,product_type,price_3,price_3_type,price_4,price_4_type,vol_2,vol_2_type,additional
5,APA20060314,2006,",,production period,,",32850000,"total,volumes,(mmbtu/bbl),,",$5.50/ 6.66,"weighted,average,floor/ceiling,,","$(133,936","fair value,asset/,(liability),,(in thousands)",collar,natural gas,,,,,,,
6,APA20060314,,",,production period,,",4404000,"total,volumes,(mmbtu/bbl),,",5.87,"weighted,average,floor/ceiling,,",Neg21232,"fair value,asset/,(liability),,(in thousands)",swap,natural gas,,,,,,,
7,APA20060314,,",,production period,,",4307000,"total,volumes,(mmbtu/bbl),,",32.07/ 40.66,"weighted,average,floor/ceiling,,",Neg95583,"fair value,asset/,(liability),,(in thousands)",collar,oil,,,,,,,
8,APA20060314,,",,production period,,",224000,"total,volumes,(mmbtu/bbl),,",38.50,"weighted,average,floor/ceiling,,",Neg5365,"fair value,asset/,(liability),,(in thousands)",swap,oil,,,,,,,
9,APA20060314,,",,production period,,",1533000,"total,volumes,(mmbtu/bbl),,",28.00,"weighted,average,floor/ceiling,,",16,"fair value,asset/,(liability),,(in thousands)","put option, put",oil,,,,,,,
10,APA20060314,2007,",,production period,,",24570000,"total,volumes,(mmbtu/bbl),,",5.25/ 6.20,"weighted,average,floor/ceiling,,",Neg96917,"fair value,asset/,(liability),,(in thousands)",collar,natural gas,,,,,,,
11,APA20060314,,",,production period,,",1761000,"total,volumes,(mmbtu/bbl),,",5.57,"weighted,average,floor/ceiling,,",Neg7997,"fair value,asset/,(liability),,(in thousands)",swap,natural gas,,,,,,,
12,APA20060314,,",,production period,,",1911000,"total,volumes,(mmbtu/bbl),,",33.00/ 39.25,"weighted,average,floor/ceiling,,",Neg45533,"fair value,asset/,(liability),,(in thousands)",collar,oil,,,,,,,
13,APA20060314,,",,production period,,",78000,"total,volumes,(mmbtu/bbl),,",36.89,"weighted,average,floor/ceiling,,",Neg1982,"fair value,asset/,(liability),,(in thousands)",swap,oil,,,,,,,
5,APA20070301,2007,",costless collars,production period,,",53770000,",total volumes,(mmbtu/bbl/gj),,, MMBtu",$5.25|8.65,",floor price,range,,",$5.85|11.00,",ceiling price,range,,",collar,natural gas,$6.96/8.69,"weighted,average,floor/ceiling,,",$30588,",fair value,asset/(liability),(in thousands),",,,
