,doc_id,datetime_1,datetime_1_type,vol_1,vol_1_type,price_1,price_1_type,price_2,price_2_type,price_3,price_3_type,vol_2,vol_2_type,price_4,price_4_type,price_5,price_5_type,vol_3,vol_3_type,price_6,price_6_type,instrument_type,product_type,additional,price_7,price_7_type,price_8,price_8_type,price_9,price_9_type,price_10,price_10_type,price_11,price_11_type,price_12,price_12_type,price_13,price_13_type,vol_4,vol_4_type
0,APC20040304,"2004,",index,319,"three-way collars (thousand mmbtu/d),",$2.87,"floor sold price,nymex price per mmbtu",$3.94,"floor purchased price,nymex price per mmbtu",$5.52,"ceiling sold price,nymex price per mmbtu",44,"two-way collars (thousand mmbtu/d),nymex price per mmbtu",$4.29,"floor purchased price,nymex price per mmbtu,",$6.43,"ceiling sold price,nymex price per mmbtu,",259,"fixed price (thousand mmbtu/d),nymex price per mmbtu",$3.86,"nymex price per mmbtu,nymex price per mmbtu",collar,natural gas,,,,,,,,,,,,,,,,,
1,APC20040304,"2005,",index,19,"three-way collars (thousand mmbtu/d),",$2.20,"floor sold price,nymex price per mmbtu",$3.00,"floor purchased price,nymex price per mmbtu",$4.83,"ceiling sold price,nymex price per mmbtu",26,"two-way collars (thousand mmbtu/d),nymex price per mmbtu",$3.76,"floor purchased price,nymex price per mmbtu,",$5.65,"ceiling sold price,nymex price per mmbtu,",33,"fixed price (thousand mmbtu/d),nymex price per mmbtu",$3.46,"nymex price per mmbtu,nymex price per mmbtu",collar,natural gas,,,,,,,,,,,,,,,,,
0,APC20040304,"2004,",index,197,"basis swaps (thousand mmbtu/d),nymex price per mmbtu",$(0.13,"price per mmbtu,nymex price per mmbtu",,,,,,,,,,,,,,,"basis swap, swap",natural gas,,,,,,,,,,,,,,,,,
1,APC20040304,"2005,",index,53,"basis swaps (thousand mmbtu/d),nymex price per mmbtu",$(0.22,"price per mmbtu,nymex price per mmbtu",,,,,,,,,,,,,,,"basis swap, swap",natural gas,,,,,,,,,,,,,,,,,
0,APC20040304,"2004,,",index,38.0,"three-way collars (mbbls/d),",$20.13,"floor sold price,nymex price per barrel",$24.61,"floor purchased price,nymex price per barrel",$30.0,"ceiling sold price,nymex price per barrel",3.0,"two-way collars (mbbls/d),nymex price per barrel",$22.0,"floor purchased price,nymex price per barrel,",$26.32,"ceiling sold price,nymex price per barrel,",26.0,"fixed price (mbbls/d),nymex price per barrel",$27.22,"nymex price per barrel,nymex price per barrel",collar,oil,,,,,,,,,,,,,,,,,
1,APC20040304,"2005,",index,,"three-way collars (mbbls/d),",,"floor sold price,nymex price per barrel",,"floor purchased price,nymex price per barrel",,"ceiling sold price,nymex price per barrel",2,"two-way collars (mbbls/d),nymex price per barrel",$22.00,"floor purchased price,nymex price per barrel,",$26.32,"ceiling sold price,nymex price per barrel,",,"fixed price (mbbls/d),nymex price per barrel",,"nymex price per barrel,nymex price per barrel",collar,oil,,,,,,,,,,,,,,,,,
0,APC20050315,"2005,",index,26,"two-way collars (thousand mmbtu/d),",$5.65,"ceiling sold price,nymex price per mmbtu",$3.76,"floor purchased price,nymex price per mmbtu",$9.37,"ceiling sold price,nymex price per mmbtu,",269,"three-way collars (thousand mmbtu/d),nymex price per mmbtu",$5.00,"floor purchased price,nymex price per mmbtu,",$4.01,"floor sold price,nymex price per mmbtu",21,"fixed price (thousand mmbtu/d),nymex price per mmbtu",$2.97,"nymex price per mmbtu,nymex price per mmbtu",collar,natural gas,,,,,,,,,,,,,,,,,
1,APC20050315,"2006,",index,10,"two-way collars (thousand mmbtu/d),",$5.88,"ceiling sold price,nymex price per mmbtu",$4.00,"floor purchased price,nymex price per mmbtu",,"ceiling sold price,nymex price per mmbtu,",,"three-way collars (thousand mmbtu/d),nymex price per mmbtu",,"floor purchased price,nymex price per mmbtu,",,"floor sold price,nymex price per mmbtu",11,"fixed price (thousand mmbtu/d),nymex price per mmbtu",$2.87,"nymex price per mmbtu,nymex price per mmbtu",collar,natural gas,,,,,,,,,,,,,,,,,
0,APC20050315,"2005,",index,141,"basis swaps (thousand mmbtu/d),nymex price per mmbtu",$(0.17,"price per mmbtu,nymex price per mmbtu",,,,,,,,,,,,,,,"basis swap, swap",natural gas,,,,,,,,,,,,,,,,,
1,APC20050315,"2006,",index,21,"basis swaps (thousand mmbtu/d),nymex price per mmbtu",$(0.21,"price per mmbtu,nymex price per mmbtu",,,,,,,,,,,,,,,"basis swap, swap",natural gas,,,,,,,,,,,,,,,,,
