,doc_id,datetime_1,datetime_1_type,vol_1,vol_1_type,price_1,price_1_type,additional,instrument_type,product_type,price_2,price_2_type,price_3,price_3_type,price_4,price_4_type,price_5,price_5_type
4,CLR20100226,swaps,"period and type of contract,period and type of contract,period and type of contractjanuary 2010 march 2010",343,"volumeinmbbls,volumeinmbbls,volumeinmbbls",$84.00,"swapsweightedaverage,swapsweightedaverage,swapsweightedaverage",,swap,oil,,,,,,,,
5,CLR20100226,Collars,"period and type of contract,period and type of contract,period and type of contractjanuary 2010 march 2010",148,"volumeinmbbls,volumeinmbbls,volumeinmbbls",,"swapsweightedaverage,swapsweightedaverage,swapsweightedaverage",,collar,oil,,,,,,,,
7,CLR20100226,Swaps,"period and type of contract,period and type of contract,period and type of contractjanuary 2010 march 2010",410,"volumeinmbbls,volumeinmbbls,volumeinmbbls",84.22,"swapsweightedaverage,swapsweightedaverage,swapsweightedaverage",april 2010 june 2010,swap,oil,,,,,,,,
8,CLR20100226,Collars,"period and type of contract,period and type of contract,period and type of contractjanuary 2010 march 2010",228,"volumeinmbbls,volumeinmbbls,volumeinmbbls",,"swapsweightedaverage,swapsweightedaverage,swapsweightedaverage",april 2010 june 2010,collar,oil,,,,,,,,
10,CLR20100226,Swaps,"period and type of contract,period and type of contract,period and type of contractjanuary 2010 march 2010",414,"volumeinmbbls,volumeinmbbls,volumeinmbbls",84.22,"swapsweightedaverage,swapsweightedaverage,swapsweightedaverage",july 2010 september 2010,swap,oil,,,,,,,,
11,CLR20100226,Collars,"period and type of contract,period and type of contract,period and type of contractjanuary 2010 march 2010",598,"volumeinmbbls,volumeinmbbls,volumeinmbbls",,"swapsweightedaverage,swapsweightedaverage,swapsweightedaverage",july 2010 september 2010,collar,oil,,,,,,,,
13,CLR20100226,Swaps,"period and type of contract,period and type of contract,period and type of contractjanuary 2010 march 2010",414,"volumeinmbbls,volumeinmbbls,volumeinmbbls",84.22,"swapsweightedaverage,swapsweightedaverage,swapsweightedaverage",october 2010 december 2010,swap,oil,,,,,,,,
14,CLR20100226,Collars,"period and type of contract,period and type of contract,period and type of contractjanuary 2010 march 2010",598,"volumeinmbbls,volumeinmbbls,volumeinmbbls",,"swapsweightedaverage,swapsweightedaverage,swapsweightedaverage",october 2010 december 2010,collar,oil,,,,,,,,
4,CLR20100226,swaps,"period and type of contract,period and type of contract,period and type of contractjanuary 2010 march 2010",343,"volumeinmbbls,volumeinmbbls,volumeinmbbls",,"collars,floors,range",,swap,oil,,"collars,floors,weightedaverage",,"collars,ceilings,range",,"collars,ceilings,weightedaverage",,
5,CLR20100226,Collars,"period and type of contract,period and type of contract,period and type of contractjanuary 2010 march 2010",148,"volumeinmbbls,volumeinmbbls,volumeinmbbls",75.00,"collars,floors,range",,collar,oil,75.00,"collars,floors,weightedaverage",96.40,"collars,ceilings,range",96.40,"collars,ceilings,weightedaverage",,
7,CLR20100226,Swaps,"period and type of contract,period and type of contract,period and type of contractjanuary 2010 march 2010",410,"volumeinmbbls,volumeinmbbls,volumeinmbbls",,"collars,floors,range",april 2010 june 2010,swap,oil,,"collars,floors,weightedaverage",,"collars,ceilings,range",,"collars,ceilings,weightedaverage",,
8,CLR20100226,Collars,"period and type of contract,period and type of contract,period and type of contractjanuary 2010 march 2010",228,"volumeinmbbls,volumeinmbbls,volumeinmbbls",75.00,"collars,floors,range",april 2010 june 2010,collar,oil,75.00,"collars,floors,weightedaverage",96.40,"collars,ceilings,range",96.40,"collars,ceilings,weightedaverage",,
10,CLR20100226,Swaps,"period and type of contract,period and type of contract,period and type of contractjanuary 2010 march 2010",414,"volumeinmbbls,volumeinmbbls,volumeinmbbls",,"collars,floors,range",july 2010 september 2010,swap,oil,,"collars,floors,weightedaverage",,"collars,ceilings,range",,"collars,ceilings,weightedaverage",,
11,CLR20100226,Collars,"period and type of contract,period and type of contract,period and type of contractjanuary 2010 march 2010",598,"volumeinmbbls,volumeinmbbls,volumeinmbbls",75.00,"collars,floors,range",july 2010 september 2010,collar,oil,75.00,"collars,floors,weightedaverage",94.50|96.40,"collars,ceilings,range",95.23,"collars,ceilings,weightedaverage",,
13,CLR20100226,Swaps,"period and type of contract,period and type of contract,period and type of contractjanuary 2010 march 2010",414,"volumeinmbbls,volumeinmbbls,volumeinmbbls",,"collars,floors,range",october 2010 december 2010,swap,oil,,"collars,floors,weightedaverage",,"collars,ceilings,range",,"collars,ceilings,weightedaverage",,
14,CLR20100226,Collars,"period and type of contract,period and type of contract,period and type of contractjanuary 2010 march 2010",598,"volumeinmbbls,volumeinmbbls,volumeinmbbls",75.00,"collars,floors,range",october 2010 december 2010,collar,oil,75.00,"collars,floors,weightedaverage",94.50|96.40,"collars,ceilings,range",95.23,"collars,ceilings,weightedaverage",,
2,CLR20100226,swaps,period and type of contractjanuary 2010 march 2010,590,volume inmmmbtus,$5.86,swapsweightedaverage,,swap,natural gas,,,,,,,,
4,CLR20100226,Swaps,period and type of contractjanuary 2010 march 2010,3163,volume inmmmbtus,5.85,swapsweightedaverage,april 2010 december 2010,swap,natural gas,,,,,,,,
6,CLR20100226,Swaps,period and type of contractjanuary 2010 march 2010,11863,volume inmmmbtus,6.36,swapsweightedaverage,january 2011 december 2011,swap,natural gas,,,,,,,,
4,CLR20100226,swaps,",,period and type of contractjanuary 2010 june 2010",905,"volume inmbbls,volume inmbbls,volume inmbbls",$80.50,"swapsweightedaverage,swapsweightedaverage,swapsweightedaverage",,swap,oil,,,,,,,,
5,CLR20100226,Collars,",,period and type of contractjanuary 2010 june 2010",453,"volume inmbbls,volume inmbbls,volume inmbbls",,"swapsweightedaverage,swapsweightedaverage,swapsweightedaverage",,collar,oil,,,,,,,,
7,CLR20100226,Collars,",,period and type of contractjanuary 2010 june 2010",644,"volume inmbbls,volume inmbbls,volume inmbbls",,"swapsweightedaverage,swapsweightedaverage,swapsweightedaverage",july 2010 december 2010,collar,oil,,,,,,,,
9,CLR20100226,Collars,",,period and type of contractjanuary 2010 june 2010",1278,"volume inmbbls,volume inmbbls,volume inmbbls",,"swapsweightedaverage,swapsweightedaverage,swapsweightedaverage",january 2011 december 2011,collar,oil,,,,,,,,
4,CLR20100226,swaps,",,period and type of contractjanuary 2010 june 2010",905,"volume inmbbls,volume inmbbls,volume inmbbls",,"collars,floors,range",,swap,oil,,"collars,floors,weightedaverage",,"collars,ceilings,range",,"collars,ceilings,weightedaverage",,
5,CLR20100226,Collars,",,period and type of contractjanuary 2010 june 2010",453,"volume inmbbls,volume inmbbls,volume inmbbls",$70.00,"collars,floors,range",,collar,oil,$70.00,"collars,floors,weightedaverage",$95.00,"collars,ceilings,range",$95.00,"collars,ceilings,weightedaverage",,
7,CLR20100226,Collars,",,period and type of contractjanuary 2010 june 2010",644,"volume inmbbls,volume inmbbls,volume inmbbls",75.00,"collars,floors,range",july 2010 december 2010,collar,oil,75.00,"collars,floors,weightedaverage",96.75,"collars,ceilings,range",96.75,"collars,ceilings,weightedaverage",,
9,CLR20100226,Collars,",,period and type of contractjanuary 2010 june 2010",1278,"volume inmbbls,volume inmbbls,volume inmbbls",75.00,"collars,floors,range",january 2011 december 2011,collar,oil,75.00,"collars,floors,weightedaverage",89.00,"collars,ceilings,range",89.00,"collars,ceilings,weightedaverage",,
2,CLR20100226,swaps,period and type of contractjanuary 2010 march 2010,2700,volume inmmmbtus,$6.18,swapsweightedaverage,,swap,natural gas,,,,,,,,
4,CLR20100226,Swaps,period and type of contractjanuary 2010 march 2010,2710,volume inmmmbtus,6.18,swapsweightedaverage,april 2010 june 2010,swap,natural gas,,,,,,,,
6,CLR20100226,Swaps,period and type of contractjanuary 2010 march 2010,2720,volume inmmmbtus,6.18,swapsweightedaverage,july 2010 september 2010,swap,natural gas,,,,,,,,
8,CLR20100226,Swaps,period and type of contractjanuary 2010 march 2010,2720,volume inmmmbtus,6.18,swapsweightedaverage,october 2010 december 2010,swap,natural gas,,,,,,,,
2,CLR20100226,swaps,period and type of contractjanuary 2010 december 2010,7200,volume inmmmbtus,$(0.62,swapsweightedaverage,,swap,natural gas,,,,,,,,
4,CLR20110225,swaps,",,period and type of contractjanuary 2012 december 2012",915000,",,bbls",$100.01,",swaps,weightedaverage",,swap,oil,,,,,,,,
6,CLR20110225,Collars,",,period and type of contractjanuary 2012 december 2012",3102500,",,bbls",,",swaps,weightedaverage",january 2013 december 2013,collar,oil,,,,,,,,
4,CLR20110225,swaps,",,period and type of contractjanuary 2012 december 2012",915000,",,bbls",,"collars,floors,range",,swap,oil,,"collars,floors,weightedaverage",,"collars,ceilings,range",,"collars,ceilings,weightedaverage",,
6,CLR20110225,Collars,",,period and type of contractjanuary 2012 december 2012",3102500,",,bbls",$90|$95,"collars,floors,range",january 2013 december 2013,collar,oil,$91.59,"collars,floors,weightedaverage",$97.25|$101.60,"collars,ceilings,range",$99.13,"collars,ceilings,weightedaverage",,
2,CLR20110225,swaps,period and type of contractjanuary 2011 march 2011,2360000,mmbtus,$4.69,swapsweightedaverage,,swap,natural gas,,,,,,,,
4,CLR20110225,Swaps,period and type of contractjanuary 2011 march 2011,3640000,mmbtus,4.69,swapsweightedaverage,april 2011 june 2011,swap,natural gas,,,,,,,,
6,CLR20110225,Swaps,period and type of contractjanuary 2011 march 2011,3910000,mmbtus,4.69,swapsweightedaverage,july 2011 september 2011,swap,natural gas,,,,,,,,
8,CLR20110225,Swaps,period and type of contractjanuary 2011 march 2011,4232000,mmbtus,4.73,swapsweightedaverage,october 2011 december 2011,swap,natural gas,,,,,,,,
10,CLR20110225,Swaps,period and type of contractjanuary 2011 march 2011,3660000,mmbtus,5.07,swapsweightedaverage,january 2012 december 2012,swap,natural gas,,,,,,,,
5,CLR20110225,swaps,",,,period and type of contractjanuary 2011 march 2011",284000,",,,bbls",$83.86,",swaps,weighted,average",,swap,oil,,,,,,,,
6,CLR20110225,Collars,",,,period and type of contractjanuary 2011 march 2011",2565000,",,,bbls",,",swaps,weighted,average",,collar,oil,,,,,,,,
8,CLR20110225,Swaps,",,,period and type of contractjanuary 2011 march 2011",273000,",,,bbls",84.67,",swaps,weighted,average",april 2011 june 2011,swap,oil,,,,,,,,
9,CLR20110225,Collars,",,,period and type of contractjanuary 2011 march 2011",2593500,",,,bbls",,",swaps,weighted,average",april 2011 june 2011,collar,oil,,,,,,,,
11,CLR20110225,Swaps,",,,period and type of contractjanuary 2011 march 2011",460000,",,,bbls",85.64,",swaps,weighted,average",july 2011 september 2011,swap,oil,,,,,,,,
12,CLR20110225,Collars,",,,period and type of contractjanuary 2011 march 2011",2622000,",,,bbls",,",swaps,weighted,average",july 2011 september 2011,collar,oil,,,,,,,,
14,CLR20110225,Swaps,",,,period and type of contractjanuary 2011 march 2011",644000,",,,bbls",86.25,",swaps,weighted,average",october 2011 december 2011,swap,oil,,,,,,,,
15,CLR20110225,Collars,",,,period and type of contractjanuary 2011 march 2011",2622000,",,,bbls",,",swaps,weighted,average",october 2011 december 2011,collar,oil,,,,,,,,
17,CLR20110225,Swaps,",,,period and type of contractjanuary 2011 march 2011",7320000,",,,bbls",86.90,",swaps,weighted,average",january 2012 december 2012,swap,oil,,,,,,,,
