,doc_id,vol_1,vol_1_type,product_type,instrument_type,price_1,price_1_type,datetime_1,datetime_1_type,price_2,price_2_type,price_3,price_3_type,additional,price_4,price_4_type,vol_2,vol_2_type
4,DVN20040305,28,"price,collars,",oil production ,collar,,,,,,,,,,,,,
5,DVN20040305,18,"price,collars,",oil production ,collar,,,,,,,,,,,,,
7,DVN20040305,437,"price,collars,",natural gas production ,collar,,,,,,,,,,,,,
8,DVN20040305,35,"price,collars,",natural gas production ,collar,,,,,,,,,,,,,
4,DVN20040305,51,",total,",oil production ,swap,,,,,,,,,,,,,
5,DVN20040305,26,",total,",oil production ,swap,,,,,,,,,,,,,
7,DVN20040305,456,",total,",natural gas production ,swap,,,,,,,,,,,,,
8,DVN20040305,52,",total,",natural gas production ,swap,,,,,,,,,,,,,
3,DVN20040305,8435,",mcf/day,",natural gas liquid,@,$3.10,",price/mcf,",Jan - Dec,"months of,production,",,,,,,,,,
4,DVN20040305,43578,",mcf/day,",natural gas liquid,@,$2.76,",price/mcf,",Jan - Jun,"months of,production,",,,,,,,,,
5,DVN20040305,41920,",mcf/day,",natural gas liquid,@,$2.79,",price/mcf,",Jul - Dec,"months of,production,",,,,,,,,,
6,DVN20040305,11000,",2004,,,bbls/day,",oil,@,$27.51,",2004,,price/,bbl,",Jan - Dec,",2004,,months of,production,",,,,,,,,,
7,DVN20040305,18000,",2004,,,bbls/day,",oil,@,$27.16,",2004,,price/,bbl,",Jan - Dec,",2004,,months of,production,",,,,,,,,,
8,DVN20040305,15000,",2004,,,bbls/day,",oil,@,$27.53,",2004,,price/,bbl,",Jan - Dec,",2004,,months of,production,",,,,,,,,,
9,DVN20040305,20000,",2004,,,bbls/day,",oil,@,$26.03,",2004,,price/,bbl,",Jan - Dec,",2004,,months of,production,",,,,,,,,,
6,DVN20040305,10000,",2005,,,bbls/day,",oil,@,$27.17,",2005,,price/,bbl,",Jan - Dec,",2005,,months of,production,",,,,,,,,,
7,DVN20040305,6000,",2005,,,bbls/day,",oil,@,$27.26,",2005,,price/,bbl,",Jan - Dec,",2005,,months of,production,",,,,,,,,,
8,DVN20040305,6000,",2005,,,bbls/day,",oil,@,$25.88,",2005,,price/,bbl,",Jan - Dec,",2005,,months of,production,",,,,,,,,,
6,DVN20040305,8435,"2004,mcf/day",natural gas liquid,@,$3.10,"2004price/,mcf",jan - dec,"2004months of,production",,,,,,,,,
6,DVN20040305,7343,"2005,mcf/day",natural gas liquid,@,$2.97,"2005price/,mcf",jan - dec,"2005months of,production",,,,,,,,,
11,DVN20040305,3000,",2004,,,,,,,bbls/day,",oil,collar,,",,,,,,,,area (range of floor prices/ceiling prices),",Jan - Dec,",2004,,,,,,months of,production,",$20.83,",2004,,,weighted average,,floor,price,perbbl,",$27.43,",2004,,,weighted average,,ceiling,price,per bbl,",united states onshore,,,,
12,DVN20040305,6000,",2004,,,,,,,bbls/day,",oil,collar,,",,,,,,,,area (range of floor prices/ceiling prices),",Jan - Dec,",2004,,,,,,months of,production,",$21.42,",2004,,,weighted average,,floor,price,perbbl,",$29.25,",2004,,,weighted average,,ceiling,price,per bbl,",united states onshore,,,,
13,DVN20040305,2000,",2004,,,,,,,bbls/day,",oil,collar,,",,,,,,,,area (range of floor prices/ceiling prices),",Jan - Dec,",2004,,,,,,months of,production,",$22.00,",2004,,,weighted average,,floor,price,perbbl,",$30.35,",2004,,,weighted average,,ceiling,price,per bbl,",united states onshore,,,,
15,DVN20040305,6000,",2004,,,,,,,bbls/day,",oil,collar,,",,,,,,,,area (range of floor prices/ceiling prices),",Jan - Dec,",2004,,,,,,months of,production,",$21.42,",2004,,,weighted average,,floor,price,perbbl,",$28.75,",2004,,,weighted average,,ceiling,price,per bbl,",united states offshore,,,,
16,DVN20040305,7000,",2004,,,,,,,bbls/day,",oil,collar,,",,,,,,,,area (range of floor prices/ceiling prices),",Jan - Dec,",2004,,,,,,months of,production,",$22.00,",2004,,,weighted average,,floor,price,perbbl,",$30.74,",2004,,,weighted average,,ceiling,price,per bbl,",united states offshore,,,,
18,DVN20040305,3000,",2004,,,,,,,bbls/day,",oil,collar,,",,,,,,,,area (range of floor prices/ceiling prices),",Jan - Dec,",2004,,,,,,months of,production,",$20.50,",2004,,,weighted average,,floor,price,perbbl,",$27.07,",2004,,,weighted average,,ceiling,price,per bbl,",canada,,,,
