,doc_id,price_1,price_1_type,price_2,price_2_type,vol_1,vol_1_type,instrument_type,product_type,datetime_1,datetime_1_type,additional,price_3,price_3_type
"natural  gas,",NBL20030311,$2.00|$3.50,"floor price range,hedge mmbtupd",$2.45|$5.10,"ceiling price range,hedge mmbtupd",44%,"percent of daily production,hedge mmbtupd",collar,"natural gas, natural gas liquid",,,,,
"crude oil,",NBL20030311,$23.00|$24.00,"floor price range,hedge bpd",$29.30|$30.10,"ceiling price range,hedge bpd",,,collar,oil,,,,,
1,NBL20030311,$23.00|$28.63,"crude oil,price per bbl floor - ceiling",,,15000,crude oilbbls per day,collar,oil,1Q 2003,production period,,,
2,NBL20030311,$23.00|$28.63,"crude oil,price per bbl floor - ceiling",,,15000,crude oilbbls per day,collar,oil,2Q 2003,production period,,,
3,NBL20030311,$23.00|$27.95,"crude oil,price per bbl floor - ceiling",,,10000,crude oilbbls per day,collar,oil,3Q 2003,production period,,,
4,NBL20030311,$23.00|$27.95,"crude oil,price per bbl floor - ceiling",,,10000,crude oilbbls per day,collar,oil,4Q 2003,production period,,,
1,NBL20030311,$3.87|$4.82,"natural  gas,price per mmbtu floor - ceiling",,,185000,natural  gasmmbtu per day,collar,natural gas,1Q 2003,production period,,,
2,NBL20030311,$3.43|$4.57,"natural  gas,price per mmbtu floor - ceiling",,,185000,natural  gasmmbtu per day,collar,natural gas,2Q 2003,production period,,,
3,NBL20030311,$3.43|$4.60,"natural  gas,price per mmbtu floor - ceiling",,,185000,natural  gasmmbtu per day,collar,natural gas,3Q 2003,production period,,,
4,NBL20030311,$3.43|$4.84,"natural  gas,price per mmbtu floor - ceiling",,,185000,natural  gasmmbtu per day,collar,natural gas,4Q 2003,production period,,,
0,NBL20040315,$3.25|$3.80,"floor price range,fixed price range",$4.00|$5.25,"ceiling price range,fixed price range",190038,"hedge mmbtupd,",collar,"natural gas, natural gas liquid","2003,",index,,,
1,NBL20040315,$2.00|$3.50,"floor price range,fixed price range",$2.45|$5.10,"ceiling price range,fixed price range",170274,"hedge mmbtupd,",collar,"natural gas, natural gas liquid","2002,",index,,,
2,NBL20040315,$3.25|$5.00,"floor price range,fixed price range",$4.60|$6.25,"ceiling price range,fixed price range",16947,"hedge mmbtupd,",collar,"natural gas, natural gas liquid","2001,",index,,,
0,NBL20040315,$23.00|$27.00,"floor price range,fixed price",$27.20|$35.05,"ceiling price range,fixed price",,,collar,oil,"2003,",index,,,
1,NBL20040315,$23.00|$24.00,"floor price range,fixed price",$29.30|$30.10,"ceiling price range,fixed price",,,collar,oil,"2002,",index,,,
2,NBL20040315,,"floor price range,fixed price",,"ceiling price range,fixed price",,,collar,oil,"2001,",index,,,
1,NBL20040315,$25.33|$31.53,"crude oil,price per bbl floor - ceiling",,,15000,crude oilbopd,collar,oil,1Q 2004,production period,,,
2,NBL20040315,$24.83|$31.22,"crude oil,price per bbl floor - ceiling",,,15000,crude oilbopd,collar,oil,2Q 2004,production period,,,
3,NBL20040315,$25.00|$31.13,"crude oil,price per bbl floor - ceiling",,,15000,crude oilbopd,collar,oil,3Q 2004,production period,,,
4,NBL20040315,$24.00|$30.00,"crude oil,price per bbl floor - ceiling",,,5000,crude oilbopd,collar,oil,4Q 2004,production period,,,
1,NBL20040315,$4.81|$7.77,"natural  gas,price per mmbtu floor - ceiling",,,120000,natural  gasmmbtupd,collar,natural gas,1Q 2004,production period,,,
2,NBL20040315,$4.06|$5.95,"natural  gas,price per mmbtu floor - ceiling",,,120000,natural  gasmmbtupd,collar,natural gas,2Q 2004,production period,,,
3,NBL20040315,$4.19|$5.99,"natural  gas,price per mmbtu floor - ceiling",,,120000,natural  gasmmbtupd,collar,natural gas,3Q 2004,production period,,,
4,NBL20040315,$4.19|$6.42,"natural  gas,price per mmbtu floor - ceiling",,,120000,natural  gasmmbtupd,collar,natural gas,4Q 2004,production period,,,
1,NBL20120209,$91.84,"swaps,weighted average fixed price",,,5000,bbls per day,swap,oil,2012,period,,,
2,NBL20120209,89.06,"swaps,weighted average fixed price",,,8000,bbls per day,swap,oil,2012,period,,,
3,NBL20120209,-,"swaps,weighted average fixed price",,,23000,bbls per day,"three-way collar, collar",oil,2012,period,,,
4,NBL20120209,-,"swaps,weighted average fixed price",,,3000,bbls per day,"three-way collar, collar",oil,2012,period,,,
5,NBL20120209,98.03,"swaps,weighted average fixed price",,,3000,bbls per day,swap,oil,2013,period,,,
6,NBL20120209,-,"swaps,weighted average fixed price",,,5000,bbls per day,"three-way collar, collar",oil,2013,period,,,
7,NBL20120209,-,"swaps,weighted average fixed price",,,23000,bbls per day,"three-way collar, collar",oil,2013,period,,,
8,NBL20120209,-,"swaps,weighted average fixed price",,,5000,bbls per day,"three-way collar, collar",oil,2014,period,,,
10,NBL20120209,-,"swaps,weighted average fixed price",,,5000,bbls per day,"three-way collar, collar",oil,2013,period,"instruments entered into during january 1|31, 2012",,
1,NBL20120209,-,"collars,weighted average short put price",-,"collars,weighted average floor price",5000,bbls per day,swap,oil,2012,period,,-,"collars,weighted average ceiling price"
2,NBL20120209,-,"collars,weighted average short put price",-,"collars,weighted average floor price",8000,bbls per day,swap,oil,2012,period,,-,"collars,weighted average ceiling price"
3,NBL20120209,61.09,"collars,weighted average short put price",83.04,"collars,weighted average floor price",23000,bbls per day,"three-way collar, collar",oil,2012,period,,101.66,"collars,weighted average ceiling price"
4,NBL20120209,70.00,"collars,weighted average short put price",95.83,"collars,weighted average floor price",3000,bbls per day,"three-way collar, collar",oil,2012,period,,105.00,"collars,weighted average ceiling price"
5,NBL20120209,-,"collars,weighted average short put price",-,"collars,weighted average floor price",3000,bbls per day,swap,oil,2013,period,,-,"collars,weighted average ceiling price"
6,NBL20120209,65.00,"collars,weighted average short put price",85.00,"collars,weighted average floor price",5000,bbls per day,"three-way collar, collar",oil,2013,period,,113.63,"collars,weighted average ceiling price"
7,NBL20120209,82.61,"collars,weighted average short put price",100.32,"collars,weighted average floor price",23000,bbls per day,"three-way collar, collar",oil,2013,period,,127.62,"collars,weighted average ceiling price"
8,NBL20120209,80.00,"collars,weighted average short put price",92.00,"collars,weighted average floor price",5000,bbls per day,"three-way collar, collar",oil,2014,period,,130.50,"collars,weighted average ceiling price"
